亢宿、角宿,ふしぎ遊戯
テンカワ・アキト,機動戦艦ナデシコ
ハーメル,ハーメルンのバイオリン弾き
相楽左之助,るろうに剣心
タケシ,ポケットモンスターシリーズ
ムサシのソーナンス、他多数のポケモン,ポケットモンスターシリーズ
キスケ,おじゃる丸
オコリン坊,おじゃる丸
花中島マサル,すごいよ!!マサルさん
北条院聖斗,超速スピナー
カール・リヒテン・シュバルツ,ゾイド
暴れん坊,デ・ジ・キャラット
ホロホロ,シャーマンキング
巴武士,ARMS
芥川慈郎,テニスの王子様
安田太助,天使な小生意気
ナンバーマン,ロックマンエグゼ
カラードマン,ロックマンエグゼ
ゾルフ・J・キンブリー,鋼の錬金術師(2003年版)
ジャン・ハボック,鋼の錬金術師(2009年版)
市村辰之助,PEACE MAKER鐵
尾栗康平,ジパング
サーキース,ONEPIECE
森田忍,ハチミツとクローバー
化野,蟲師
フィッシュ竹中、他多数,ギャグマンガ日和
ビリー・カタギリ,機動戦士ガンダム00
ドナテロ,ミュータント・タートルズ(2003年版)
ヨハネ・クラウザーII世,デトロイト・メタル・シティ
イリヤ・ソコロフ,DARKER THAN BLACK 流星の双子
那須島隆志,デュラララ!!
オンセン,デュエルマスターズビクトリー
シズイ,ポケットモンスターベストウイッシュ
風摩ようすけ,愛天使伝説ウェディングピーチ
シュート=マクマホン,HUNTER×HUNTER(2011年版)
ミラー,聖闘士星矢Ω
ルキノ・パルナーバ,爆走兄弟レッツ&ゴー!!WGP
伊織糸郎,キルラキル
レナート兄弟,ガンダムビルドファイターズ
番犬マン,ワンパンマン
綾小路宇土51世,ARIA
ガミー,キラキラ☆プリキュアアラモード
北条秋時,犬夜叉
椿定光,破壊魔定光
シャショット,新幹線変形ロボ_シンカリオン_THE_ANIMATION
斎藤龍興,信長の忍び
丸手斎,東京喰種シリーズ
