サラ・タイレル,機動新世紀ガンダムX
代官山はとこ（左側）,アキハバラ電脳組
沙雪,頭文字D
妲己,封神演義
アンジェリカ,超発明BOYカニパン
真崎杏子,初代遊戯王
御景妖,妖しのセレス
花園の歌姫,六門天外モンコレナイト
ディータ・リーベライ,ヴァンドレッド
大森ミツキ,激闘!クラッシュギアTURBO
四条万里,Dr.リンにきいてみて!
コクリュウ,メダロット魂
藤崎あかり,ヒカルの碁
ミカン,ポケットモンスター
菖蒲,犬夜叉
時人,SAMURAI DEEPER KYO
藍沢みんと,東京ミュウミュウ
朝比奈浩子,ラーゼフォン
翡翠,真月譚月姫
藤村静流,神魂合体ゴーダンナー!!
本庄美風,ストラトス・フォー
紅葉みさき,ダイバージェンス・イヴ
ライラ/ダンテ,鋼の錬金術師
メディ,ロックマンエグゼStream
シルヴィア,創聖のアクエリオン
源静香,ドラえもん（2005年～）
毛倡妓,ぬらりひょんの孫
鈴村貞代,GANTZ
青葉未知,ななみちゃん
中野倭（右側）,LOVELESS
りりん,BLEACH
サルビア,ポケットモンスター ダイヤモンド&パール
高橋洋子,バカとテストと召喚獣
メロディランド女王,たまごっち!
片桐ツバサ,AKB0048
おシャキ,かみさまみならい ヒミツのここたま
マジカルサファイア,Fate/kaleid liner プリズマ☆イリヤ ドライ!!※
