フローレン,楽しいムーミン一家
馬連華,史上最強の弟子ケンイチ
北条沙都子,ひぐらしのなく頃に
田中ようこ,アイドル天使ようこそようこ
皇神楽耶,コードギアス 反逆のルルーシュ
わぴこ,きんぎょ注意報!
ペッペッペッ・ソーランアレマ,少年アシベ
メロンパンナ,それいけ!アンパンマン
ちびおおかみ,それいけ!アンパンマン
ティファ・アディール,機動新世紀ガンダムX
西園寺えりか,究極超人あ～る
メイ・マー,KO世紀ビースト三獣士
ルゥ,だぁ!だぁ!だぁ!
ネイ,AVENGER
モッツァレラ,コロッケ!
スー,うちの3姉妹
椎名繭,ONE～輝く季節へ～(OVA)
星の宮モモコ,HIGH SCORE
はれぶた,はれときどきぶた
フー子,ドラえもん のび太とふしぎ風使い
フーコ,劇場版どうぶつの森
ミーコ/ニャンダーかれん※2代目,ニャニがニャンだーニャンダーかめん
ヴァニラ・H,ギャラクシーエンジェル
ノーマッド,ギャラクシーエンジェル
ジルバ,ポポロクロイス物語
サニー・ファニー,パラッパラッパー
レルート,HUNTER×HUNTER※2011年版
ミメット,美少女戦士セーラームーン
キャンディーコング,ドンキーコング（アニメ版）
乱子,忍ペンまん丸
星野スミレ,ドラえもん※3代目
ギン,妖怪ウォッチ
ペコリン,キラキラ☆プリキュアアラモード
シェリーメイ,東京ディズニーシーのキャラクター＊1
パラボン,SHIN-MEN（クレヨンしんちゃん）
夢繰りの鈴の少女,ゲゲゲの鬼太郎(6期)
