星渡ゴロー,YAT安心!宇宙旅行
オボッチャマン,ドクタースランプ
小金井薫,烈火の炎
李小狼,カードキャプターさくら
タカジョー・ゼット,真・女神転生デビルチルドレン
木ノ宮タカオ,ベイブレード
すもも,ちょびっツ
レイコム,金色のガッシュベル!!
パプワ,PAPUWA
ノシシ,かいけつゾロリ
グレタ,今日からマ王!
金田正太郎,鉄人28号(第4作)
本田吾郎,メジャー(第一シリーズ)
虎水ギンタ(初代),メルヘヴン
けろっぴ,けろけろけろっぴ
ユウナ,スティッチ!
あさたろう,ねぎぼうずのあさたろう
ばんば,海月姫
コフレ,ハートキャッチプリキュア
ゴン,GON-ゴン-
アブラ・カタブラ,バトルスピリッツ覇王
カナリア,HUNTER×HUNTER(2011年版)
アトラ,聖闘士星矢 THE LOST CANVAS 冥王神話
三平三平,釣りキチ三平(OVA)
ヤマザキ,学級王ヤマザキ
ジェラトーニ,東京ディズニーシーのキャラクター
こひろまこと,爆走兄弟レッツ&ゴー!!
ハンター・スティール,スパイダーライダーズ
激炎剣キバマル,探検ドリランド-1000年の真宝-
スパイク,マイリトルポニー
ラフ,トランスフォーマー プライム
ポロン,探検ドリランド
ダズル,ポケットモンスターシリーズ
ボインゴ,ジョジョの奇妙な冒険 スターダストクルセイダース
茂野泉,メジャー
クッパ,砂漠の海賊!キャプテンクッパ
