おタマ,キャッ党忍伝てやんでえ
ゴマちゃん,少年アシベ
全王,ドラゴンボール超
愛染明王,聖伝-RG VEDA-
ユーリ,花の魔法使いマリーベル
水木なつみ,ママは小学4年生
スージィ・リレーン（左側）,機動戦士Vガンダム
コニー・フランシス,機動戦士Vガンダム
第12話 予告ナレーション（サイダー）,日常
ミグ（左側）,魔法陣グルグル
田中美沙,同級生
リプリム,マップス
ルビィ（右側）,怪盗セイント・テール
保与田ジュラ,ママはぽよぽよザウルスがお好き
一条院ミサキ,銀河お嬢様伝説ユナ 哀しみのセイレーン
カネア・マリーゴールド,YAT安心!宇宙旅行
野原ゆり,トイレの花子さん
チュチュ,少女革命ウテナ
影絵少女,少女革命ウテナ
メンチ,エクセル・サーガ
バーさん,サイボーグクロちゃん
黒点虎,封神演義
ウマゴン,金色のガッシュベル!!
ニーナ・タッカー,鋼の錬金術師
ノノ,プラネテス
九鬼様,らいむいろ戦奇譚
プーモ,ふしぎ星の☆ふたご姫
藤姫〈代役〉,劇場版 遙かなる時空の中で 舞一夜
チー,チーズスイートホーム
おきくちゃん,怪談レストラン
シフォン,フレッシュプリキュア
タンゴ,祝福のカンパネラ
妄想ユー（第5話）,これはゾンビですか?
フロッシュ,FAIRYTAIL
偏執王アリギュラ,血界戦線
ティナ,Go!プリンセスプリキュア
ステラ・ルー,東京ディズニーシーのキャラクター
ポプ子（第7話Aパート）,ポプテピピック
