厳島貴子,乙女はお姉さまに恋してる
楠優愛,CHAOS;HEAD
オモッチャマ,ヤッターマン
張勲/七乃,真・恋姫†無双
灰猫,BLEACH
サトシのガマガル,ポケットモンスター ベストウイッシュ
三浦あずさ,アイドルマスター
望月紀奈子,俺たちに翼はない
藤堂つむぎ,星空へ架かる橋
速瀬水月,君が望む永遠(OVA)
アメリア先生,クイズマジックアカデミー2以降
シェラ,バテン・カイトス
ライチ=フェイ=リン,ブレイブルー
ニルヴァーナ,ブレイブルー
ベル,ファイナルファンタジー・クリスタルクロニクル クリスタルベアラー
キャロル・ドーリー,ACV
宏岡亜矢,もやしもん
エリーサ・ドメル,宇宙戦艦ヤマト2199
近藤勇,戦国コレクション
マジェコンヌ,超次元ゲイムネプテューヌ
マジック・ザ・ハード,超次元ゲイムネプテューヌmk2
函館臣子,キルラキル
皆藤蜜子,ガールフレンド(仮)
オダさま（中央）,夜ノヤッターマン
エディタ・ノイマン,ストライクウィッチーズOVA vol.2 エーゲ海の女神
ゴリ子,銀魂°
イヤ代,おそ松さん
ユージアル,美少女戦士セーラームーンCrystal
三条加奈子,テラフォーマーズ
キャサリン・マクドナルド,風の聖痕
スゴスゴインダーネジ,ヘボット!
アスモデウス,sin　七つの大罪
ドコン、牡丹、ニャンキー,めっちゃ太鼓の達人DS 7つの島の大冒険
帰蝶,信長の忍び
テリー・ボガード,SNKヒロインズ
"",""
