谷間ゆり/エンジェルリリィ,愛天使伝説ウェディングピーチ
野山あずさ,あずきちゃん
李苺鈴,カードキャプターさくら
野坂ミホ,初代遊戯王
要未来,真・女神転生デビルチルドレン
神無,犬夜叉
ウサギのミカ,天使のしっぽ
紫亜,ぴたテン
テレサ・テスタロッサ,フルメタル・パニック!
雪城ほのか/キュアホワイト,ふたりはプリキュア
風花真白,舞-HiME
姫野二三,舞-HiME
虎徹勇音,BLEACH
マシロ・ブラン・ド・ヴィントブルーム,舞-乙HiME
リンスレット=ウォーカー,BLACKCAT
如月香澄,くじびきアンバランス
C.C.,コードギアス
ドミヌーラ,シムーン
ララモン,デジモンセイバーズ
リインフォースⅡ,魔法少女リリカルなのはStrikerS
加世,モノノ怪
風花,セキレイ
蕾見不二子,絶対可憐チルドレン
弓梓,ソウルイーター
天狐空幻(女),我が家のお稲荷さま。
獅子堂高嶺,宇宙をかける少女
セシリア・オルコット,インフィニット・ストラトス
鬼の手姫,ファイ・ブレイン
野々坂まお,未来日記
ディアン,ラストエグザイル-銀翼のファム-
藤原寧々音,CODE:BREAKER
ひめスペっち,たまごっち
入須冬実,氷菓
しらほし,ONEPIECE
双子座のパラドクス、双子座のインテグラ,聖闘士星矢Ω
フォウ・ムラサメ,機動戦士Ζガンダム(劇場版)
紀之真弓,青の6号
コンゴウ,蒼き鋼のアルペジオ -アルス・ノヴァ-
花柳齋硝子,機巧少女は傷つかない
タマ,繰繰れ!コックリさん
リファ,アイドルマスターXENOGLOSSIA
黒江双葉,ワールドトリガー
フェストゥム,蒼穹のファフナー
遠見弓子,蒼穹のファフナー（画像右）
ルティエル,銀河機攻隊マジェスティックプリンス
ケール,ドラゴンボール超
房野きらら,ゲゲゲの鬼太郎(6期)
ホップ(ドラゴンボール),ドラゴンボール超
