チョウ・メイリィ,中華一番!
日暮かごめ,犬夜叉
魂子,境界のRINNE
皇北都,X
岬太郎,キャプテン翼(2001年版)
003/フランソワーズ・アルヌール,サイボーグ009(2001年版)
千鳥かなめ,フルメタル・パニック!
涅見子,なるたる
ホシ丸,なるたる
菫川ねねね,R.O.D
田名部愛,プラネテス
春日部咲,げんしけん
四楓院夜一,BLEACH
橘玲,ぱにぽにだっしゅ!
森下はるか,ミルモでポン!
志村妙,銀魂
プルル看護長,ケロロ軍曹
ラファエラ,CLAYMORE
碧,.hackシリーズ
園崎魅音,ひぐらしのなく頃に
園崎詩音,ひぐらしのなく頃に
柊,夏目友人帳
ロゼ,鋼の錬金術師 FULLMETAL ALCHEMIST
マギサ,バトルスピリッツ 少年激覇ダン
亀井堂静,それでも町は廻っている
アナ・グラム,ファイ・ブレイン
アクィラのユナ,聖闘士星矢Ω
ケン・マリネリス,Z.O.E
八重樫葉,羊のうた
七宝マサミ,ジェネレイターガウル
フジヤマシズカ,ガイキングLOD
先代キュアマーメイド,Go!プリンセスプリキュア
シリア・スティングレイ,バブルガムクライシス TOKYO 2040
二の宮きこ,きこちゃんすまいる
ミリィ・トンプソン,トライガン
榊美麗,ひとひら
天方美帆,Free!
橘真琴（小学生時代）,Free!
臥煙伊豆湖,物語シリーズ セカンドシーズン
香月みち子,BLUEDROP
北条まりあ,スイートプリキュア♪
ガミアQ,真マジンガー 衝撃!Z編
折木供恵,氷菓
松明屋紅葉※,それゆけ!宇宙戦艦ヤマモト・ヨーコ
レッド,たこやきマントマン
乙姫むつみ,ラブひな
マーシュ,ポケットモンスターXY
コアラ,ONEPIECE
島田千代,ガールズ&パンツァー劇場版
櫻田五月,城下町のダンデライオン
フランス娘,ヘタリア The Beautiful World
御堂筋翔（幼少時代）,弱虫ペダル
ネーナ,ジョジョの奇妙な冒険 スターダストクルセイダース
大岡紅葉,名探偵コナン
こゆきちゃん,ぷるるんっ!しずくちゃん
"",""
"",""
