ブルック,ONE PIECE
リューマ,ONEPIECE
チャチャ,ぶぶチャチャ
校長先生…他※1,ひだまりスケッチ
校長先生※1,日常
大槻班長※2,賭博破戒録カイジ
007/グレート・ブリテン,サイボーグ009(三期)
タランス,ビーストウォーズ(初代~メタルス)
邪見,犬夜叉
助川電六,花咲くいろは
すけとうだら,ぷよぷよ～ん
大統領,OH!スーパーミルクちゃん
ルーファス=バルマ,PandoraHearts
ガリレオ,マリー&ガリー
キャシャリン,すごいよ!!マサルさん
マタル・モガメット※3,マギ
バーン・ドルフォーム,"Z.O.E Doroles,i"
ブリッツウィング,トランスフォーマーアニメイテッド
ギーラ・ゾイ(ヤーク・ドレ),ガンダムAGE
ギルボア・サント,機動戦士ガンダムUC
ナカムラ,乱歩奇譚
スラム,モンタナ・ジョーンズ
野原銀の介(2代目),クレヨンしんちゃん
ボノレノフ,HUNTER×HUNTER
たんたん坊,ゲゲゲの鬼太郎 (5期)
内山田ひろし,GTO
ウィルソン・フィリップス上院議員,ジョジョの奇妙な冒険
必爺,十二大戦
ダソヌ☆マソ,ケロロ軍曹
メケケ,ケロロ軍曹
