デュナスモン,デジモンフロンティア
エレキ伯爵,ロックマンエグゼ
ジャンクマン,ロックマンエグゼ
白虎のランゲツ,陰陽大戦記
ツメ,WOLF'SRAIN
次郎坊（※画像左）,NARUTO
ザンバイ,ONEPIECE
シュドナイ,灼眼のシャナ
ヘルマン・ザルツァ,ブラスレイター
瀬戸豪三郎,瀬戸の花嫁
ボビー・マルゴ/早乙女嵐蔵,マクロスF
鎮目弦馬,DARKER THAN BLACK -流星の双子-
スカー/ガーフィール,鋼の錬金術師FULLMETAL ALCHEMIST
シャルロッテ・クールホーン,BLEACH
花輪ベンケイ,メタルファイトベイブレード
クラウス,ハヤテのごとく!
マッスル大鎌,絶対可憐チルドレン
ツイーゴ,七つの大罪
首狩りガトー,ダンボール戦機
武光振蔵,SKETDANCE
教官,モンハン日記ぎりぎりアイルー村
ランデル・オーランド,パンプキン・シザーズ
ミケ・ザカリアス,進撃の巨人/進撃!巨人中学校
モハメド・アヴドゥル,ジョジョの奇妙な冒険スターダストクルセイダース
ペンギン先生/山田山夫/田中さん,プリティーリズム
宮前剣,月刊少女野崎くん
ハジメ・ド・モン,コメット・ルシファー
スズッキー,タイムボカン24
エレパントゥス(トンズラー),夜ノヤッターマン
轟鬼ゲンマ/花薔薇エルフ,フューチャーカード バディファイト
鷹岡明,暗殺教室
鯱（※画像右）,銀魂
原田右之助,銀魂
コキュートス,オーバーロード
シュニッツァー,モーレツ宇宙海賊
エルクレス,夢喰いメリー
クバード,アルスラーン戦記（日5版）
グレート・ゴズ,ダンガンロンパ3
アブラミー,コロッケ!
楽進/李烈,蒼天航路
オールマイト,僕のヒーローアカデミア
轟力雷樹,下ネタという概念が存在しない退屈な世界
スキン・ボリック,D.Gray-man
ゼルブブス,強殖装甲ガイバー
ジャック・ハンマー(2018),刃牙シリーズ
