心内療,アニメで分かる心療内科
海勝麟六,UN-GO
ポトムリ,イナズマイレブンGOギャラクシー
藤原拓海,頭文字D
ヨージ,Weiß kreuz
ラヴァ,吸血姫美夕
雷信,うしおととら（TVアニメ版）
ジェームズ・マクラウド,F-ZERO ファルコン伝説
ポスティーノ,王ドロボウJING
源頼光,お伽草子
成瀬由紀彦,学園ヘヴン BOY'S LOVE HYPER!
ロックオン・ストラトス（ニール・ディランディ）,機動戦士ガンダム00
ロックオン・ストラトス（ライル・ディランディ）,機動戦士ガンダム00
若林源三,キャプテン翼J
眞王,今日からマ王!
美木杉愛九郎,キルラキル
ワルター・フォン・シェーンコップ,銀河英雄伝説 Die Neue These
坂本辰馬,銀魂
相沢滝,グラビテーション
相田景虎,黒子のバスケ
人見,CØDE:BREAKER
ニアリー,ゴクドーくん漫遊記
キュウゾウ,SAMURAI7
島田開,3月のライオン
ドライ6,ジーンダイバー
水都真一朗,好きなものは好きだからしょうがない!!
シャノン・カスール,スクラップド・プリンセス
カタシロ・リョウスケ,STAR DRIVER 輝きのタクト
ビリー・スタリオン,ダンボール戦機W
青山圭一郎,地球防衛企業ダイ・ガード
南條一夜,超者ライディーン
バク・チャン,D.Gray-man
アレン・シェザール,天空のエスカフローネ
江戸元閥,天保異聞妖奇士
ザマス,ドラゴンボール超
スタージュン,トリコ
ミズキ,NARUTO
貝木泥舟,偽物語
ロイ・マスタング,鋼の錬金術師 FULLMETAL ALCHEMIST
エーリッヒ・クレーメンス・ルーデンドルフ,爆走兄弟レッツ&ゴー!!シリーズ
リストル,HUGっと!プリキュア
犬山道節,八犬伝-東方八犬異聞-
バロックヒート,破天荒遊戯
日々野晴矢,HARELUYAII BØY
ノヴ,HUNTER×HUNTER（2011年版）
アラストル,ビューティフルジョー
アサシン（佐々木小次郎）,Fate
クリード=ディスケンス,BLACK CAT
浦原喜助,BLEACH
クルツ・ウェーバー,フルメタル・パニック!シリーズ
直江兼続,BRAVE10
新宮隼人,PROJECT ARMS
コジロウ,ポケットモンスターシリーズ
ハレクラニ,ボボボーボ・ボーボボ
イスナーン,マギ
闇野竜介,魔探偵ロキ
尸良,無限の住人
萩原研二,名探偵コナン
誇山,モブサイコ100
都筑麻斗,闇の末裔
エーリッヒ・フォン・レルゲン,幼女戦記
バーナーマン,ロックマンエグゼシリーズ
澤田敏行,Robotics;Notes
島達也,湾岸ミッドナイト
スネック,ワンパンマン
ペドロ,ONEPIECE
法月仁,プリティーリズム・レインボーライブ
