シャーロック・シェリンフォード,探偵オペラミルキィホームズ
コーリン,カードファイト!!ヴァンガード
ピクピク,gdgd妖精s
古谷向日葵,ゆるゆり
佐藤萌,ポヨポヨ観察日記
星花,BabyPrincess
西園寺日寄子,スーパーダンガンロンパ2
園田海未,ラブライブ!
皇紫音,GJ部
更識簪,インフィニット・ストラトス2
風祭フーカ,魔界戦記ディスガイア4
ミュセル・フォアラン,アウトブレイク・カンパニー
ヒスイ・E・フィオーレ,FAIRYTAIL
如月暁,フューチャーカードバディファイト
るるも,まじもじるるも
宝石姫エイリン,クイーンズブレイドリベリオン
桃園奈々生,神様はじめました
松平元康,織田信奈の野望
鈴音先生,閃乱カグラ
アシガラ,蒼き鋼のアルペジオ
水花,モモキュンソード
柊暦,電波教師
帆糸ロマ,東京喰種
ヒミコ,BTOOOM!
武之内空,デジモンアドベンチャーtri.
アリス・クリーヴランド,ランス・アンド・マスクス
カードゲームしよ子,ブシロード関連CM
大沢木小鉄,毎度!浦安鉄筋家族
鈴,境界のRINNE 第2シリーズ
ミライ/小日向未来,カミワザ・ワンダ
藤ノ宮寧子,政宗くんのリベンジ
キタキツネ,けものフレンズ(アニメ)
青島萌香,OneRoom
高岡春奈,タイガーマスクW
牛込ゆり,Bang_Dream!
キングジョー,怪獣娘〜ウルトラ怪獣擬人化計画〜
春名このみ,マギアレコード
ピピ美(10話Aパート),ポプテピピック
白鳥アンジュ,キラッとプリ☆チャン
日和坊,陰陽師(ゲーム)
バーバラ,ドラゴンクエストライバルズ
お市,信長の忍び
サンラータン,ゾイドワイルド
神楽ひかり,少女☆歌劇レヴュースタァライト
なみこ,SSSS.GRIDMAN
東郷美森,結城友奈は勇者である
鷲尾須美,鷲尾須美は勇者である
