西遠寺彷徨,だぁ!だぁ!だぁ!
レントン・サーストン,交響詩篇エウレカセブン
五百蔵しんら,蟲師
夢原のぞみ/キュアドリーム,Yes! プリキュア5
フゥ太,家庭教師ヒットマンREBORN!
マチ/町洋子,ぼくらの
亜風炉照美,イナズマイレブン
吉田千鶴,君に届け
晴太,銀魂
南浦数絵,咲-Saki-
八坂一,夏のあらし!
セリム・ブラッドレイ/プライド,鋼の錬金術師
中島錦,ストライクウィッチーズ
サーシャ,聖痕のクェイサー
メロディっち,たまごっち
ヒーローっち/おれねっち,たまごっち
佐藤信也,みつどもえ
佐藤あかり,みつどもえ
秋月涼,アイドルマスターシリーズ（主にDS、SideM）
天城ハルト,遊戯王ZEXAL
神宮寺ケイ,超次元ゲイムネプテューヌmk2
逢沢駆,エリアの騎士
皇リュウジ,クロスファイトビーダマン
ナキアミ,亡念のザムド
ジーノ・クナープ,アトリエシリーズ
九竜トキオ,.hack//Link
ココモ・ペイロー※左側,ギャラクシーエンジェル
クルト・ハルトマン,映画ドラえもん のび太のひみつ道具博物館(ミュージアム)
木下ともお,団地ともお
ナランチャ・ギルガ,ジョジョの奇妙な冒険オールスターバトル
豪勝カイト,ヒーローバンク
角谷正宗,メタルファイトベイブレード
うずまきボルト,BORUTO
ギルバート,マジンボーン
佐々木ゆきめ,リング☆ドリーム
リュウ,赤髪の白雪姫
絵馬ユズル,ワールドトリガー
鉄雄,荒川アンダーザブリッジ
ピノキオ,SINoALICE
ポプ子,ポプテピピック※第6話Aパート
星野,おじゃる丸※二代目
大空翼,キャプテン翼(2018年版)
アクレアツス,宝石の国
おしりたんてい,おしりたんてい
