潮田広海,暗殺教室
リリア,イース 天空の神殿〜アドル・クリスティンの冒険
武内優香,ヴァリアブル・ジオ
エクセル,エクセル・サーガ
セルシア・マリクレール,エルフを狩るモノたち
オカメ姫,おじゃる丸＊1
エビちゅ,おるちゅばんエビちゅ
イオリ・リン子,ガンダムビルドファイターズ
ベガ,GEAR戦士電童
トニヤ・マーム,機動新世紀ガンダムX
マリュー・ラミアス,機動戦士ガンダムSEEDシリーズ
カーテローゼ・フォン・クロイツェル,銀河英雄伝説
ジーン,CLAYMORE
上尾ますみ,クレヨンしんちゃん＊2
平家いぶき,ゲンジ通信あげだま
峰さやか,剣勇伝説YAIBA
サキュバス,この素晴らしい世界に祝福を!
フリーズ,コレクターユイ
神崎麗美,GTO
チョッキン,ジャンケンマン
有栖川樹璃,少女革命ウテナ
葛城ミサト,新世紀エヴァンゲリオン
ハミィ,スイートプリキュア
山田たえ,ゾンビランドサガ
バーディー,鉄腕バーディー(OVA)
チェルシー・ローレック,東京アンダーグラウンド(OVA)
野比玉子（3代目）,ドラえもん（テレビ朝日版第2期）
ミンク,ドラゴンハーフ
あやか(2代目),忍たま乱太郎
山ぶ鬼,忍たま乱太郎
ミレイユ・ブーケ,NOIR
不知火舞,バトルファイターズ 餓狼伝説2
和子先生,はれときどきぶた
月野うさぎ/セーラームーン,美少女戦士セーラームーン、美少女戦士セーラームーンCrystal
ちびちび/セーラーちびちび,美少女戦士セーラームーン セーラースターズ
菅生あすか,新世紀GPXサイバーフォーミュラ
草摩楽羅,フルーツバスケット
メタモン,ポケットモンスター
ドミノ,ポケットモンスター ミュウツー! 我ハココニ在リ
ピピ美,ポプテピピック第12話Aパート
剣野舞,負けるな!魔剣道
レティシャ,魔術士オーフェン Revenge
斑鳩萌衣,MAZE☆爆熱時空＊3
水無怜奈,名探偵コナン
まり子,妖怪アパートの幽雅な日常
にこの母,ラブライブ!
キルビート,レジェンズ 甦る竜王伝説
ボア・ハンコック,ONE PIECE
