最上義光,戦国コレクション(アニメ)
凸守早苗,中二病でも恋がしたい!
エルビア・ハーナイマン,アウトブレイク・カンパニー
小鳥遊空,パパのいうことを聞きなさい!
ノンナ,ガールズ&パンツァー
ぴよたん,ガールズ&パンツァー
神無月環,GJ部
隅田さん,波打際のむろみさん
ピーチ・マキ,鬼灯の冷徹
海松エル,プラスティック・メモリーズ
テイルレッド,俺、ツインテールになります。
ティッタ,魔弾の王と戦姫
モモカ・荻野目,クロスアンジュ天使と竜の輪舞
シャル,DOGDAYS
ビジュアルメモリ,セガ・ハード・ガールズ
チュチュ,SHOWBYROCK!!
羽月まない,ファンタジスタドール
シャルティア・ブラッドフォールン,オーバーロード
月見草朧,下ネタという概念が存在しない退屈な世界
星野輝子,コンクリート・レボルティオ
川神舞,無彩限のファントム・ワールド
アテナ,ラクエンロジック
アーシー,キュートランスフォーマー
コレットさん,この美術部には問題がある!
ユミナ・アンクレイヴ,ViVid Strike!
アレッタ,異世界食堂
風紀委員長,アホガール
ピピ美,ポプテピピック※1
リーン,異世界はスマートフォンとともに。
児嶋加奈,なんでここに先生が!?
