ハンゾー,ミルモでポン!
ミミ,マーメイドメロディーぴちぴちピッチ
来栖川姫子,神無月の巫女
紬屋雨,BLEACH
トリル,ロックマンエグゼ
間桐桜,Fate/staynight
新山理沙子,鉄のラインバレル
クロ,黒神
スズナ,ポケットモンスター ダイヤモンド&パール
山田真耶,インフィニット・ストラトス
アブリル・ブラッドリー,GOSICK
京子,これはゾンビですか?
天谷春恋,マケン姫っ!
アンジェリカ,マシュマロ通信
バイオレット,マシュマロ通信
水坂憐,BALDRFORCEEXERESOLUTION(OVA版)
九条姫香(画像左),かみちゃまかりん
月島紅葉,クロスゲーム
ビオラ,ポケットモンスター XY
セレナのヤンチャム,ポケットモンスターXY
ライラ※,テイルズオブゼスティリア クロス
ホットニー,かみさまみならい ヒミツのここたま
まおちゃん,ちび☆デビ!
聖杯くん,カーニバル・ファンタズム
ミジュマル,ポケモンスマッシュ
内田りな,恋するプリン!
モエギ,NARUTO
乙女橘りのん,ウィッチクラフトワークス
右野レイジ,カードファイト!!ヴァンガード
河井沙織(画像左),武装錬金
