羽田鷹志,俺たちに翼はない
桂木桂馬,神のみぞ知るセカイ
緋勇龍麻,東京魔人學園
アゲート・フローライト,クラスターエッジ
半田真一、フィディオ・アルデナ,イナズマイレブン
大空ヒロ,ダンボール戦機W
春日野悠,ヨスガノソラ
如月竜司,ドラゴンクライシス!
神名綾人,ラーゼフォン
佐藤洋,ベン・トー
椿佐介,SKETDANCE
東方院行人,ながされて藍蘭島
ラット/根津次郎、かまぼこ,探偵オペラミルキィホームズ
田島悠一郎,おおきく振りかぶって
ダン・JD,バスカッシュ!
御厨仁,かんなぎ
矢部智,みつどもえ
吉井明久,バカとテストと召喚獣
陸遜ゼータプラス,SDガンダム三国伝
アローン／冥王ハーデス,聖闘士星矢 THE LOST CANVAS 冥王神話
谷村祐介,黒子のバスケ
アウラー,ふしぎ星の☆ふたご姫
漆原半蔵,はたらく魔王さま!
加賀良介,だから僕は、Hができない。
四ノ宮京夜,GJ部
コニー・スプリンガー,進撃の巨人
テツ,センコロール
アルバ,戦勇。
无,カーニヴァル
ソウジロウ=セタ,ログ・ホライズン
赤羽雷真,機巧少女は傷つかない
三反田数馬,忍たま乱太郎
川上憲史,ダイヤのA
メチャ・モチマッヅィ,たまこまーけっと
天王寺飛鳥,Z/X IGNITION
関俊成,となりの関くん
ケン・ロビンス,カレイドスター
タクヤ・イレイ,機動戦士ガンダムUC
ミロク,最強銀河究極ゼロバトルスピリッツ
黒沼青葉,デュラララ!!×2
ナキ,東京喰種
Jaune Arc,RWBY(吹替版)
一条晴彦,無彩限のファントム・ワールド
犬神桃央,貧乏神が！
サイ,神羅万象〜天地神明の章〜（Webアニメ)
三好,ジョーカー・ゲーム　
怪盗スペード,怪盗ジョーカー
黒崎正人,カミワザ・ワンダ
有栖院御園,SERVAMP
ジーン・オータス,ACCA13区監察課
イシドロ,ベルセルク(2016年版)
ゼノ,暁のヨナ
鏑木一差,弱虫ペダル
黒羽丸,ぬらりひょんの孫
百枝天馬,東京レイヴンズ
コトサカ,K(アニメ)
天戸タケル,えとたま
荼毘,僕のヒーローアカデミア
ポプ子,ポプテピピック ※第6話Bパート
押切トオル,伊藤潤二コレクション
我妻善逸,鬼滅の刃
