ウィッツ・スー,機動新世紀ガンダムX
ロロノア・ゾロ,ONEPIECE
サルデス,ONEPIECE
土方十四郎,銀魂
白瀬慧,BPSバトルプログラマーシラセ
ムゲン,サムライチャンプルー
浪漫,幕末義人伝浪漫
トレス・イクス,トリニティ・ブラッド
ハンゾウ,キン肉マンⅡ世
今吉翔一,黒子のバスケ
ザギ,獣王星
ガオモン,デジモンセイバーズ
百目鬼静,xxxHOLiC
勝呂竜士,青の祓魔師
凶戴斗,無限の住人
鷲津涼,明日のよいち!
トーチ,キディ・ガーランド
セングレン,イクシオンサーガDT
根津甚八,BRAVE10
サラマンダー公威,よんでますよ、アザゼルさん。
ナオシ,ポケットモンスターダイヤモンド&パール
マイルズ,鋼の錬金術師 FULLMETAL ALCHEMIST
ヤン・バレンタイン,HELLSINGテレビアニメ版
ザップ・レンフロ,血界戦線
福本,ジョーカー・ゲーム
カラス,ノエインもうひとりの君へ
ジギー・ペッパー,テガミバチ
鞠戸孝一郎,アルドノア・ゼロ
兼丸フクタ、プラチナ,ヒーローバンク
伊達政宗 ,へうげもの
バラバン,将国のアルタイル
ボルキュス・デュッセンルドルフ,ブレイクブレイド
深瀬明,妖怪アパートの幽雅な日常<
