エィナ,超重神グラヴィオン
レナ,.hack//黄昏の腕輪伝説
南楓,ミルモでポン!シリーズ
宮藤深衣奈,おねがい☆ツインズ
メイ・ウォン,カレイドスター
葵杏奈,神魂合体ゴーダンナー!!
山瀬千早,まぶらほ
ペッポ,巌窟王
水樹マイア,光と水のダフネ
鴇羽舞衣,舞-HiME/舞‐乙HIME
春日野美鳥,美鳥の日々
篁唯依,マブラヴ オルタネイティヴ トータル・イクリプス
紺若ゆうな,陰からマモル!
蒼井渚砂,ストロベリー・パニック
竜宮レナ,ひぐらしのなく頃に
桐生琴葉,らぶドル ～Lovely Idol～
花園花鈴,かみちゃまかりん
森宮蒼乃,sola
音無初音,AngelBeats!
西王母桃,おとめ妖怪ざくろ
リヴァイアさん,波打際のむろみさん
ティアナ・ランスター,魔法少女リリカルなのはStrikerS
ノーラ・アレント,狼と香辛料
大河内紫乃,かんなぎ
守本叶鳴,PERSONA -trinity soul-
レイナ,天の覇王 北斗の拳ラオウ外伝
リンダ,グイン・サーガ
フェリ・ロス,鋼殻のレギオス
宮永照,咲-Saki-
小笠原晶子,大正野球娘。
鑢七実,刀語
贄川春奈,デュラララ!!
有沢さん,ひだまりスケッチ
ジュビア・ロクサー,FAIRYTAIL
メイメイ,メタルファイトベイブレード
セルニア=伊織=フレイムハート,れでぃ×ばと!
ウィッツィー,スージー・ズー 大好き！ウィッツィー
連雀,輪るピングドラム
わたし,人類は衰退しました
斬島雪姫,電波的な彼女
下鴨矢四郎,有頂天家族
斎藤楓香,サイクロプス少女さいぷ〜
吾妻汐音,11eyes
三好紗耶,サーバント×サービス
白長谷小夜子,スパイラル～推理の絆～
アヤノ・目に焼き付ける蛇,メカクシティアクターズ
グレイワース・シェルマイス,精霊使いの剣舞
藤宮志穂,一週間フレンズ。
鹿島遊,月刊少女野崎くん
五能瞳,RAILWARS!
バララ・ペオール,ガンダム Gのレコンギスタ
秋月律子,アイドルマスターXENOGLOSSIA
博麗霊夢,夢想夏郷
雪ノ下陽乃,やはり俺の青春ラブコメはまちがっている。
メンマ,ボボボーボ・ボーボボ
雪染ちさ,ダンガンロンパ3
天霧遥,学戦都市アスタリスク
紅まり亜,ヴァンパイア騎士
ミゥ,DearS
六導玲霞,Fate/apocrypha
市原鈴音,魔法科高校の劣等生
エニグマ,無彩限のファントムワールド
夏輪ひまわり,ワンダバスタイル
賈氏,覇穹封神演義
円城寺たまき,アイカツフレンズ!
黄色ブドウ球菌,はたらく細胞
ヤマト,蒼き鋼のアルペジオ
