ばいきんまん,それいけ!アンパンマン
涅マユリ,BLEACH
シーザー・クラウン,ONEPIECE
ピーちゃん/ノイズ,スイートプリキュア
ノイズ,スイートプリキュア♪
スニフ,楽しいムーミン一家
カーロス・リベラ,あしたのジョー2
伊賀野カバ丸,伊賀野カバ丸
ムーザ・メリメ,装甲騎兵ボトムズ（OVA）
芦田野路男,ハイスクール!奇面組
アイザック,聖闘士星矢
Dr.インディゴ,ONEPIECE FILM STRONG WORLD
カーヤ(天の邪鬼),学校の怪談
又市,巷説百物語
デコース・ワイズメル,ファイブスター物語
トレッパー,おばけのホーリー
キール,王ドロボウJING
ルーチェモン・フォールダウンモード,デジモンフロンティア
スネークマン,ロックマンエグゼ
ゴル胡魔193,新ビックリマン
近藤茂一,キャプテン
飯塚,るろうに剣心追憶編
アルフレッド・ジョーンズ,モンタナ・ジョーンズ
沢木公平,名探偵コナン 14番目の標的
ナイトパンプキン,プリキュアとレフィのワンダーナイト!
アメノサギリ,ペルソナ4(アニメ版)
エル・マタドーラ,ザ・ドラえもんズ
久古明夫,カメレオン（OVA)
ポプ子,ポプテピピック（第3話Bパート＆JRAコラボアニメ）
サイト管理人・漆,魔法少女サイト
