ダイナソー竜崎※二代目,遊☆戯☆王デュエルモンスターズ
ヴァイス・グランセニック,魔法少女リリカルなのはStrikerS
阿部隆也,おおきく振りかぶって
岡崎朋也,CLANNAD
早乙女アルト,マクロスF
グラハム・エーカー,機動戦士ガンダム00
月詠イクト,しゅごキャラ!
門田京平,デュラララ!!
御狐神双熾,妖狐×僕SS
折木奉太郎,氷菓
グレイ・フルバスター,FAIRYTAIL
グリード/グリリン,鋼の錬金術師FA
高坂京介,俺の妹がこんなに可愛いわけがない
練紅炎,マギ
ロス,戦勇。
レシオ,ハマトラ
恙神涯,ギルティクラウン
グリズリーさん,しろくまカフェ
坂田金時,銀魂
N,ポケットモンスターベストウイッシュ
吉田優山,となりの怪物くん
宇崎拓也,ダンボール戦機
風陣カイト,ダンボール戦機ウォーズ
村正,BLEACH
源田幸次郎,イナズマイレブン
影野仁,イナズマイレブン
マーク・クルーガー,イナズマイレブン
財前宗助,イナズマイレブン
趙金雲,イナズマイレブンアレスの天秤
鎌本力夫,K
真柴陽平,WORKING!!
黒木智貴,私がモテないのはどう考えてもお前らが悪い
野崎梅太郎,月刊少女野崎くん
司波達也,魔法科高校の劣等生
喰,カーニヴァル
四方蓮示,東京喰種
黒尾鉄朗,ハイキュー!!
曇天火,曇天に笑う
高橋啓介,新劇場版頭文字D
迅悠一,ワールドトリガー
四宮小次郎,食戟のソーマ
カラ松,おそ松さん
無免ライダー,ワンパンマン
一瀬グレン,終わりのセラフ
アーサー,ディバインゲート
羽柴秀吉,信長協奏曲
ラインハルト・ヴァン・アストレア,Re:ゼロから始める異世界生活
俵宗太,うどんの国の金色毛鞠
犬塚公平,甘々と稲妻
グルメッポーイ,クレヨンしんちゃん バカうま!B級グルメサバイバル
東田大輔,WWW.WORKING!!
押都長烈,忍たま乱太郎
クラヴィス・シェパード,虐殺器官
水度坂勘久郎,双星の陰陽師
島津豊久,ドリフターズ
東城刃更,新妹魔王の契約者
イオ・フレミング,機動戦士ガンダムサンダーボルト
橋本真博,響け!ユーフォニアム
里見紅,Lostorage incitedWIXOSS
鏑木アキラ,ダンスインザヴァンパイアバンド
滝谷真,小林さんちのメイドラゴン
長谷泉貴,妖怪アパートの幽雅な日常
天馬午太郎,アトムザ・ビギニング
シラット,ベルセルク
嵐山悟郎,侵略!イカ娘
天狐空幻(男※画像左),我が家のお稲荷さま。
ポプ子,ポプテピピック※第5話Bパート
猿渡俊助,博多豚骨ラーメンズ
皆本光一,絶対可憐チルドレン
羽鳥芳雪,世界一初恋
ベネルド,バトルスピリッツブレイヴ
一番星のレイ,最強銀河究極ゼロバトルスピリッツ
ライアン・ゴールドスミス,TIGER&BUNNY-The Rising-
ブローノ・ブチャラティ,ジョジョの奇妙な冒険黄金の風
鉱人道士,ゴブリンスレイヤー
北条凛,頭文字D
時分,兄に付ける薬はない!日本語版
