アーカード,HELLSING※
モンテ・クリスト,巌窟王
ギロロ伍長,ケロロ軍曹
モモコ,シャングリ・ラ
レオニード・アルモドバル,機動戦士Vガンダム
ゴッドワルド・ハイン,機動戦士Vガンダム
牛鬼,ぬらりひょんの孫
石神邦生,鉄のラインバレル
ジョン・ドゥ,夢喰いメリー
シグムント,機巧少女は傷つかない
カシュー,ロードス島戦記
ロイ・レヴァント,SoltyRei
メガトロン,トランスフォーマーギャラクシーフォース
荒耶宗蓮,空の境界
ルドルフ,戦勇。
にゃん太,ログ・ホライズン
信楽,繰繰れ!コックリさん
音尾兵吾,WORKING!!
フォルケン,天空のエスカフローネ
皆城公蔵,蒼穹のファフナー
ディートハルト・リート,コードギアス反逆のルルーシュ
ガメッツ,魔法つかいプリキュア!
金剛先生,宝石の国
ヤクザ天狗,ニンジャスレイヤーフロムアニメイシヨン
ピピ美,ポプテピピック ※第12話Bパート
土方歳三(ゴールデンカムイ),ゴールデンカムイ
土方歳三,新撰組異聞PEACEMAKER
ホーディ・ジョーンズ,ONEPIECE
ヴォルフ・フラーケン,宇宙戦艦ヤマト2199
闇咲逢魔,とある魔術の禁書目録
曽々田弘,ひそねとまそたん
