バロン・マクシミリアン,キン肉マンⅡ世
ナニモン,デジモンアドベンチャー
範馬勇次郎,グラップラー刃牙
バッファローマン,キン肉マンⅡ世
アルボルモン,デジモンフロンティア
マジック,PAPUWA
原田左之助,PEACE MAKER 鐵
ブラハム,ONE PIECE
ハラボテ・マッスル,キン肉マンⅡ世
デューオ,ロックマンエグゼStream
大田原誠,アイシールド21
葉柱斗影,アイシールド21
ヒロ,銀牙伝説WEED
バーバリカン高崎,人造昆虫カブトボーグV×V
出門狼騎,キスダム -ENGAGE planet-
ヤミー・リヤルゴ,BLEACH
ペリー,俗・さよなら絶望先生
ディマク,遊戯王5D's
ラルゴ・ポッテル,戦場のヴァルキュリア
ロレンツォ,リストランテ・パラディーゾ
曹操ガンダム,SDガンダム三国伝 Brave Battle Warriors
呪撃のカザン,バトルスピリッツブレイヴ
ミューア,HEROMAN
イワーク・ブライア,機動戦士ガンダムAGE
城山猛,べるぜバブ
吾妻滝生,宇宙兄弟
サンタナ,ジョジョの奇妙な冒険
高千穂仕種,めだかボックス
ワイリ,ヨルムンガンド
国分阿蘭,ガッチャマンクラウズ
怒りのハシブト,最強銀河究極ゼロ 〜バトルスピリッツ〜
ドーナツ軍曹,ハヤテのごとく!Cuties
尾上影忠,常住戦陣!!ムシブギョー
ウルヴァリン,ディスク・ウォーズ:アベンジャーズ
ヴライ,うたわれるもの 偽りの仮面
コマンドー殺子,怪盗ジョーカー
ジルドレ,ドリフターズ
リカード・ウェルキン,Re:ゼロから始める異世界生活
ジャック,ONE PIECE
フランクリン,HUNTER×HUNTER GREED ISLAND
ロッズ,ファイナルファンタジー アドベントチルドレン
スカーフェイス,キン肉マンⅡ世
獅子劫界離,Fate/Apocrypha
赤石修(上側),クロスゲーム
"",""
