プッチー,新ビックリマン
レオナ,ダイの大冒険
水野亜美/セーラーマーキュリー,美少女戦士セーラームーンシリーズ
鈴木亜梨実,ママレード・ボーイ
ヤエちゃん,がんばれゴエモン
薫幹,少女革命ウテナ
スクルド,ああっ女神さまっ
ケルベロス,カードキャプターさくら
保科智子,ToHeart
丁,X※TV版
クロエ,NOIR
金李,爆転シュートベイブレード
草摩由希,フルーツバスケット
黒沢みなも,あずまんが大王
中嶋陽子,十二国記
棗真夜,天上天下
リンディ・ハラオウン,リリカルなのはシリーズ
卯ノ花烈,BLEACH
キッス,冒険王ビィト
セレナ,銀色のオリンシス
香月舞,魔法のスターマジカルエミ(OVA版)
月影ゆり/キュアムーンライト,ハートキャッチプリキュア
ストーム,X-MEN(2011年版)
新見薫,宇宙戦艦ヤマト2199
ソニア,聖闘士星矢Ω
八坂頼子,這いよれ!ニャル子さん
クリス,甲竜伝説ヴィルガスト
カヅキ,ポケットモンスターシリーズ
桜井妙子(3代目),キテレツ大百科
ミーヤ・ミーヤ,RPG伝説ヘポイ
レイ・ビームス,交響詩篇エウレカセブン
霧島七海,あの夏で待ってる
鈴川八重,大正野球娘。
ローラ,ONE PIECE
【A-E】エモーション,ツインシグナル
ブルマ,ドラゴンボールシリーズ※1
真野妖子,魔物ハンター妖子
ムネムネ,アベノ橋魔法☆商店街
紫東遙,ラーゼフォン
ミドラー,ジョジョの奇妙な冒険スターダストクルセイダース
中本静,卒業
イリア,I・Я・I・A ZЁIЯAM THE ANIMATION
ずんべら,ゲゲゲの鬼太郎第6期
ろくろ首,ゲゲゲの鬼太郎第6期
