アリス,いばらの王 -King of Thorn-
ブリジット・エヴァンス,俺の妹がこんなに可愛いわけがない
メルン / とんがり帽子,問題児たちが異世界から来るそうですよ?
ミミ・バルゲリー,ロウきゅーぶ!SS
グランデロッソ,ガリレイドンナ
セララ,ログ・ホライズン
星宮ケイト / ヴィニエイラ,世界征服～謀略のズヴィズダー～
タマ,アニメWIXOSSシリーズ
大司教河くるみ子,彼女がフラグをおられたら
ホーク,七つの大罪
ロコ,怪盗ジョーカー
粟楠茜,デュラララ!!×2
エルフナイン,戦姫絶唱シンフォギアシリーズ
カーラ,ルパン三世
熊枕久瑠美,無彩限のファントム・ワールド
デボラ・イーストリヴァー(イラスト右),DimensionW
星宮瀬奈,ビッグオーダー
新山仁子,キズナイーバー
神谷優衣,カミワザ・ワンダ
綾里春美,逆転裁判(アニメ版)
川本モモ,3月のライオン
タスジン・ラトゥ,AKIBA'S TRIP
シーナ,オトッペ
甘粕ひそね,ひそねとまそたん
エーファ,異世界居酒屋「のぶ」
神戸しお,ハッピーシュガーライフ
でたとこ勝負,キラッとプリ☆チャン
ベルフェゴール,ベルゼブブ嬢のお気に召すまま。
マオ,えんどろ〜!
"",""
