兵藤葵,会長はメイド様!
アレク,ジュエルペット
小山友香,バカとテストと召喚獣
葵,はなまる幼稚園
小鳥遊ひな,パパのいうことを聞きなさい!
藤岡未咲,Another(OVA)（左）
妬良,十二大戦
オリオン,AMNESIA
黒白院清羅,俺の脳内選択肢が、学園ラブコメを全力で邪魔している
南しずく,桜Trick
安達映子,甘城ブリリアントパーク
観束未春,俺、ツインテールになります。
ジン・ラッセル,問題児たちが異世界から来るそうですよ?※
鈴風さやか,黒魔女さんが通る!!
ハグロ,蒼き鋼のアルペジオ
ホルミー,SHOWBYROCK!!
ネコチャン,ニンジャスレイヤー(右側)
ウムル,selector destructed WIXOSS
ヴィルヘルミーナ,ハイスクール・フリート
エディータ・ロスマン,ブレイブウィッチーズ
レッドキング,怪獣娘〜ウルトラ怪獣擬人化計画〜
ユリ・アルファ,オーバーロード
森野ワカバ,コンクリート・レボルティオ
写楽美影,デュラララ!!
新垣葵,ろんぐらいだぁす!
水科蛍,捏造トラップ
札沼まり,RAILWARS!
コッペリア,ログ・ホライズン
リオン,迷家-マヨイガ-
