キース・ホワイト,ARMS
アルバトロ・ナル・エイジ・アスカ,蒼き流星SPTレイズナー
チャンプ,赤い光弾ジリオン
ダリューン,アルスラーン戦記（劇場版）
竜骨精,犬夜叉
トゥルース,エウレカセブンAO
山岡士郎,美味しんぼ
スターザン,OKAWARI-BOY スターザンS
松野松造,おそ松さん
γ,家庭教師ヒットマンREBORN!
後藤,寄生獣セイの格率
フリット・アスノ,機動戦士ガンダムAGE
叢雲劾,機動戦士ガンダムSEED ASTRAY
ジェリド・メサ,機動戦士Ζガンダム
フォンクライスト卿ギュンター,今日からマ王!
ダスティ・アッテンボロー,銀河英雄伝説
有紀渉,銀河鉄道物語
朧,銀魂'
由貴瑛里,グラビテーション
アイオーン,クロノクルセイド
島村ジョー,サイボーグ009（1979年版）
宮城庸,純情ロマンチカ
カーズ,ジョジョの奇妙な冒険
王虎,聖闘士星矢
さかきばらのぶゆき,セクシーコマンドー外伝すごいよ!!マサルさん
ヨロシク仮面,セクシーコマンドー外伝すごいよ!!マサルさん
かつぶしまん,それいけ!アンパンマン
ノーベンバー11,DARKER THAN BLACK 黒の契約者
クリン・カシム,太陽の牙ダグラム
渡辺末吉延,tactics
新田明男,タッチ
レイガ,天空戦記シュラト
ドナート・ポルポラ,東京喰種
のびえもん,ドラえもん（テレビ朝日版第1期）
遊木リン/ムテキング,とんでも戦士ムテキング
ニャンコ先生/斑,夏目友人帳
はたけカカシ,NARUTO
ジェノサイド,ニンジャスレイヤーフロムアニメイシヨン
ジョウ・マヤ,忍者戦士飛影
松永久秀,信長の忍び
囷巴,ノラガミ
レッド/ディープミラー,ハピネスチャージプリキュア!
ギルダーツ・クライヴ,FAIRY TAIL
草薙護,BLUE SEED
草摩はとり,フルーツバスケット
ネジ王,ヘボット!
ウツギ博士,ポケットモンスター
森崎竜司,星を追う子ども
クルード,マジンボーン
ロム・ストール,マシンロボ クロノスの大逆襲
大門哲也,ミラクル☆トレイン
白鳥任三郎(2代目),名探偵コナン＊
風戸京介,名探偵コナン 瞳の中の暗殺者
オズピン教授,RWBY
シロン,レジェンズ
ランシーン,レジェンズ
朱理,LEGEND OF BASARA＊画像右
