ベルダンディー,ああっ女神さまっ
トニア,AIKa
クーネ,あそびにいくヨ!
風巳とりの,ヴァルキリードライヴ マーメイド
エメラルダス,宇宙交響詩メーテル 銀河鉄道999外伝
スターシャ・イスカンダル,宇宙戦艦ヤマト2199
下鴨母,有頂天家族
ワルギリア,うみねこのなく頃に
裏葉,AIR
ジョディ・サマー,F-ZERO ファルコン伝説
浅羽嬉子/アニエス・ベル,奥さまは魔法少女
風見みずほ,おねがい☆ティーチャー
エルザ,ガルフォース新世紀編
深森聖良,怪盗セイント・テール
カルメン99,ガン×ソード
アールヴ,キディ・グレイド
アイナ・サハリン,機動戦士ガンダム 第08MS小隊
カルタ・イシュー,機動戦士ガンダム 鉄血のオルフェンズ
大空翼（少年期）,キャプテン翼（2001年版）
幻夢,銀河お嬢様伝説ユナ 深闇のフェアリィ＊1
日輪（二代目）,銀魂
ブランウェン,クイーンズブレイド リベリオン
ミリア,CLAYMORE
セシル・クルーミー,コードギアス 反逆のルルーシュ
大草麻菜実,さよなら絶望先生
ルーン・ヴェーナス,神秘の世界エルハザード
クール,真・女神転生デビルチルドレン
パンター,セイバーマリオネットJ
ナスターシャ教授,戦姫絶唱シンフォギアG
九十九七瀬,中二病でも恋がしたい!
ティコ（女）,DEVIL SURVIVOR2 the ANIMATION
上条詩菜,とある魔術の禁書目録
八雲紫,東方二次創作同人アニメ 夢想夏郷 A Summer Day's Dream
樹村里子,ねこ・ねこ・幻想曲
番慶子,ハートキャッチプリキュア
吉井玲,バカとテストと召喚獣
ラスト,鋼の錬金術師 FULLMETAL ALCHEMIST
マクロファージ/単球,はたらく細胞
三世院やよい,HAPPY★LESSON
パーム=シベリア,HUNTER×HUNTER（2011年版）
サイバドール・マミ,HANDMAIDメイ
セーラーアルーミナムセイレーン,美少女戦士セーラームーン
山吹,貧乏神が!
クルクス,ファイナルファンタジー:アンリミテッド
ファーブラ,ファイナルファンタジー:アンリミテッド
メディナ・ラ・ルゲンシウス・エレクトラ,ふしぎの海のナディア
メリッサ,ポケットモンスター ダイヤモンド&パール
（ヒカリの）トゲキッス,ポケットモンスター ダイヤモンド&パール
グレイス・オコナー,マクロスF
マイヤーズ,マギ
タトラ,魔法騎士レイアース
カラミティ・メアリ,魔法少女育成計画
ベニーギョ,魔法つかいプリキュア!
杉崎麻里奈,みつどもえ
姫野アリス,無彩限のファントム・ワールド
キャンティ,名探偵コナン
メリッサ,魔法戦士リウイ
柊みき,らき☆すた
真姫ママ,ラブライブ!
天道かすみ,らんま1/2
魔女,リルぷりっ
