ロザリー,tactics
冠茂,焼きたて!!ジャぱん
原田美咲,学園アリス
ミナト,ゼーガペイン
月城ミーナ,月面兎兵器ミーナ
上原むつき,まなびストレート!
リリオ,エル・カザド
三橋瑠里,おおきく振りかぶって
セキ・レイ・シロエ,地球へ…
ヨーコ・リットナー,天元突破グレンラガン
橘ワタル,ハヤテのごとく!
エリオ・モンディアル,魔法少女リリカルなのはStrikers
ウェンディ・ナカジマ,魔法少女リリカルなのはStrikers
チンク・ナカジマ,魔法少女リリカルなのはStrikers
木津千里,さよなら絶望先生
フィレス,灼眼のシャナ
南夏奈,みなみけ
御嶽アンネリーゼ/霞王,ムシウタ
笠原郁,図書館戦争
月海,セキレイ
霧生つかさ,あかね色に染まる坂
最上キョーコ,スキップ・ビート!
内藤笙子,マリア様がみてる
汐王寺茉莉花,まりあ†ほりっく
波佐間ヒカル,メタルファイトベイブレード
右代宮朱志香,うみねこのなく頃に
瀬能ナツル,けんぷファー
ノリカ,マリー&ガリー
宮本麗,学園黙示録 HIGHSCHOOL OF THE DEAD
ラウラ・ボーデヴィッヒ,インフィニット・ストラトス
土浦彩葉,お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!
川村アミ,ダンボール戦機/ダンボール戦機W
リオ・ロリンズ・タチバナ,RioRainbowGate!
吉備津百香,SKET DANCE
ネイト・ミトツダイラ,境界線上のホライゾン
明石タギル,デジモンクロスウォーズ～時を駆ける少年ハンターたち～
シフォン＝フェアチャイルド,フリージング
三日月夜空,僕は友達が少ない
緑川なお/キュアマーチ,スマイルプリキュア
バッドエンドマーチ,スマイルプリキュア
轟駆流,超速変形ジャイロゼッター
轟奈々子,超速変形ジャイロゼッター
アルミン・アルレルト,進撃の巨人
夜刀神十香,デート・ア・ライブ
三浦優美子,やはり俺の青春ラブコメは間違っている
夏野霧姫,犬とハサミは使いよう
大暮麻衣子,キルラキル
カナミ,ログ・ホライズン
良田胡蝶,のうりん
アネッサ・ロセッティ,バディ・コンプレックス
レベッカ・ランドール,星刻の竜騎士
渡辺摩利,魔法科高校の劣等生
アマネ,HUNTER×HUNTER(2011年版)
エル,ポケットモンスターXY
ジェリコ,七つの大罪
真宮桜,境界のRINNE
伊里達遊太,パンチライン
忌ブキ,ケイオスドラゴン 赤竜戦役
池田朝右衛門,銀魂
老倉育,終物語
八百万百,僕のヒーローアカデミア
蒼井バルト,ベイブレードバースト
幸田香子,3月のライオン
各務原桜,ゆるキャン△
ナナ,ダーリン・イン・ザ・フランキス
