天海春香,アイドルマスターXENOGLOSSIA
ヴァイレ,キスダム KISS DUM -ENGAGE planet-
ナカマ,ぼくらの
富士原なえか,仮面のメイドガイ
イルククゥ,ゼロの使い魔
インデックス,とある魔術の禁書目録
安藤愛子,true tears
石田香凛,シャングリ・ラ
水野楓,にゃんこい!
阿良々木月火,化物語
桜モニカ,ジュエルペットてぃんくる☆
ルーア,ジュエルペット
伊藤詩織,みつどもえ
サヴェレンティ,C³
岡崎のりえ,たまゆら
星宮社,電波女と青春男
エンリ,フラクタル-FRACTALE-
高山マリア,僕は友達が少ない
近衛スバル,まよチキ!
三沢真帆,ロウきゅーぶ!
降谷萌路,さんかれあ
小日向未来,戦姫絶唱シンフォギア
フランドル,怪物王女
宇佐見羽仁,SKETDANCE
小雨,BabyPrincess
ケイ子,Aチャンネル(OVA)
てい,うぽって!!
黒咲芽亜,ToLOVEるダークネス
稲葉りんね,超速変形ジャイロゼッター
冷泉麻子,ガールズ&パンツァー
シェリア・ブレンディ,FAIRYTAIL
イリエ・タマキ,銀河機攻隊マジェスティックプリンス
柳谷乙女※,DEVIL SURVIVOR 2 the ANIMATION
ツグミ・ルリ,ハヤテのごとく!
九条月夜/ウルカヌス,神のみぞ知るセカイ
因幡てゐ,東方Project(夢想夏郷)
雪村あおい,ヤマノススメ
ムゲン,最強銀河究極ゼロバトルスピリッツ
アスタルテ,ストライク・ザ・ブラッド
園田優,桜Trick
梅ノ森千世,迷い猫オーバーラン!
クラミー・ツェル,ノーゲーム・ノーライフ
風羽りんな,マンガ家さんとアシスタントさんと
リムアリーシャ,魔弾の王と戦姫
三宮三葉,終わりのセラフ
内木ユキ,幸腹グラフィティ
敷島魅零,ヴァルキリードライヴ　マーメイド
瀬尾静音,空の境界
クルシュ・カルステン,Re:ゼロから始める異世界生活
森川千夏,Lostorage incited WIXOSS
椎名杏子,ふらいんぐうぃっち
ポカリン,ヒミツのここたま
牛飼娘,ゴブリンスレイヤー
うさぎ,つくもがみ貸します
三宅日向,宇宙よりも遠い場所
"",""
"",""
