三橋廉,おおきく振りかぶって
先導アイチ,カードファイト!!ヴァンガード
諸泉尊奈門,忍たま乱太郎
皆帆和人,イナズマイレブンGOギャラクシー
フォボス・クェーサー,イナズマイレブンGOギャラクシー
ロラン・ラゼレフ,イナズマイレブンGOギャラクシー
緑川犬介,ベイブレードバースト
花房五月,夢色パティシエール
三輪寛,いちばんうしろの大魔王
新谷貞一,黄昏乙女×アムネジア
レムス,グイン・サーガ
帝ナギ,うたの☆プリンスさまっ♪
ハイメ・レイエス,バットマン:ブレイブ&ボールド
羽田鷹志,俺たちに翼はない
葉月渚,Free!
駒野勉,ちはやふる
小西尚紀,ペルソナ4
的場薫,エリアの騎士
真波山岳,弱虫ペダル
プルー,革命機ヴァルヴレイヴ
曇宙太郎,曇天に笑う
菫星,ログ・ホライズン<第二期>
ヒュージシュリケン,ニンジャスレイヤーフロムアニメイシヨン
天羽月彦,ワールドトリガー
サフィール,美少女戦士セーラームーンCrystal
犬江仁,八犬伝-東方八犬異聞-
王陸,霊剣山
ルーファス・ロア,FAIRYTAIL
西原京谷,あっちこっち
義経,妖怪ウォッチシャドウサイド
瀬名泉水,LOVESTAGE!!
沢村唯弦※画像右,ドリフェス!
