野山野林檎,エア・ギア
春日野うらら / キュアレモネード,プリキュア5シリーズ
有原あゆみ,初恋限定。
張間美香,デュラララ!!
ルチア,とある魔術の禁書目録
アナーキー・ストッキング,パンティ&ストッキングwithガーターベルト
上杉ケンシン,戦国乙女桃色パラドックス
ホァン・パオリン / ドラゴンキッド,TIGER&BUNNY
逃げ惑う少女,TIGER&BUNNY
キルア=ゾルディック,HUNTER×HUNTER(2011年版)
峰理子,緋弾のアリア
槍水仙,ベン・トー
宇佐美マサムネ,まよチキ!
ベータ,イナズマイレブンGOクロノ・ストーン
ロニ・ガーベイ,機動戦士ガンダムUC(OVA)
麗,BabyPrincess(OVA)
きずなっち,たまごっち!
なんでっち,たまごっち!
守東桃香,桃華月憚
ベアトリーチェ,ガンスリンガーガール
吉川,GA芸術科アートデザインクラス
姫野リリカ,ジュエルペット
アルカ・シルト,NEEDLESS
クゥ・オルラ,伝説の勇者の伝説
雛菊,はなまる幼稚園
山岸れもん,夢色パティシエール
ユリカノ,輪廻のラグランジェ
シリア大塚,マケン姫っ!
霧島咲,夢喰いメリー
ウェンディ・ハーツ,機動戦士ガンダムAGE(キオ編)
田中花子,ZETMAN
沢木口美崎,氷菓
ナタリア・グレンノース,モーレツ宇宙海賊
野矢一樹,えびてん公立海老栖川高校天悶部
雲仙冥加,めだかボックス
エリカ,会長はメイド様!
仲村佐和(声),惡の華
ライラ・エイプリル,最強銀河究極ゼロバトルスピリッツ
エーコ,星刻の竜騎士
ナオミ,ガールズ&パンツァー
ユリーカ,ポケットモンスターXY
レイネシア,ログ・ホライズン
鹿羽逸花/プラーミャ様,世界征服～謀略のズヴィズダー～
五百蔵廉子,蟲師
赤城瀬菜,俺の妹がこんなに可愛いわけがない(Web版)
リュドミラ=ルリエ,魔弾の王と戦姫
ロメオ・コンボルト,FAIRY TAIL
レビィ・マクガーデン,FAIRY TAIL
侑那,甲鉄城のカバネリ
赤神イリア,クビキリサイクル
藍田未有,ロウきゅーぶ!
生方千加子,DAYS
西郡優子,ユーリ!!! on Ice
生志摩妄,賭ケグルイ
森山那奈亀,プリズマ☆イリヤ
アンタークチサイト,宝石の国
キャサリン・ワード,殺戮の天使
テップル,ヒミツのここたま
ピロー,ひらけ!ここたま
