日奈森あむ,しゅごキャラ!
ダイヤ,しゅごキャラ!
冥土へ誘うものアイリ,クイーンズブレイド
鈴川小梅,大正野球娘。
佐天涙子,とある科学の超電磁砲
エリス,あそびにいくヨ!
赤井林檎,オオカミさんと七人の仲間たち
エルシィ(エリュシア・デ・ルート・イーマ),神のみぞ知るセカイ
長月早苗,侵略!イカ娘
プリム・マキーナ,バトルスピリッツ ブレイヴ
芹沢文乃,迷い猫オーバーラン!
ナナ・アスタ・デビルーク,ToLOVEる
松前緒花,花咲くいろは
久里須かなめ,プリティーリズム・オーロラドリーム、プリティーリズム・ディアマイフューチャー
柏崎星奈,僕は友達が少ない
織田信奈,織田信奈の野望
ユイ,ソードアート・オンライン
立夏,170BabyPrincess(OVA)
明野美星,宙のまにまに
伊藤若菜,セイクリッドセブン
春風明日菜,そふてにっ
赤井めが姉ぇ,プリティーシリーズ
サーラ,ラストエグザイル-銀翼のファム-
荻山葵,ロウきゅーぶ!
ルウ・アノン,機動戦士ガンダムAGE
ヘイン,プリティーリズム・ディアマイフューチャー
カンパネルラ,空の軌跡(OVA)
鎌月鈴乃,はたらく魔王さま!
叶瀬夏音,ストライク・ザ・ブラッド
篠原エリカ,オオカミ少女と黒王子
栗栖ここね,アイカツ! -アイドルカツドウ!-
ミウラ・リナルディ,魔法少女リリカルなのはViVid
二階堂マリ,対魔導学園35試験小隊
EASY,ドリフターズ
杵崎あかね＆杵崎ほまれ,ハイスクール・フリート
ミドリ,ディバインゲート
キャロット,ONEPIECE
鳥海桜花,天使の3P!
タイリクオオカミ,けものフレンズ
キン子,おそ松さん
アメシスト,宝石の国
ナナセ・ナナミ/ナミ,ガンダムビルドダイバーズ
立花彩紗,はるかなレシーブ
高海美渡,ラブライブ!サンシャイン!!
