アオイ・ジュン,機動戦艦ナデシコ
鷲崎飛翔,超者ライディーン
聖樹,超魔神英雄伝ワタル
ブレット・アスティア ,爆走兄弟レッツ&ゴー!!
アーサー,小さな巨人 ミクロマン
トーマ・リヒャルト・シュバルツ,ゾイド
タイショーくん,とっとこハム太郎
若島津健,キャプテン翼(2001年版)
加賀鉄男,ヒカルの碁
ニクロム,シャーマンキング
秋道チョウジ,NARUTO
シャドーマン,ロックマンエグゼ
ウォーロック,流星のロックマン
北枝金次郎,エアマスター
来留間慎一,魔獣戦線
キンタロー,PAPUWA
阿散井恋次,BLEACH
ドールイサム,スーパードール★リカちゃん
浪燕青,彩雲国物語
鷲尾,武装錬金
0013,サイボーグ009 THE CYBORG SOLDIER
バリー・ザ・チョッパー,鋼の錬金術師(2003年版)
暗黒界の狂王ブロン,遊☆戯☆王デュエルモンスターズGX
大文字ゴウキ,カードファイト!!ヴァンガード
上條弘樹,純情ロマンチカ
滝井朋也,おおきく振りかぶって
黒田一樹,GIANTKILLING
白鳥零二,青の祓魔師
ヘカドス,べるぜバブ
フカボシ,ONEPIECE
佐々木鉄之助,銀魂
リキ,間の楔(新OVA)
桓騎,キングダム
ラグナッツ,トランスフォーマーアニメイテッド
田所迅,弱虫ペダル
水島一純,突撃!パッパラ隊
ンドゥール,ジョジョの奇妙な冒険 スターダストクルセイダース
レオナルド,ミュータント・タートルズ(新実写版)
白石由竹,ゴールデンカムイ
