遠野秋葉,真月譚月姫
支倉令,マリア様がみてる
ヴィルヘルミナ・カルメル,灼眼のシャナ
リナリー・リー,D.Gray-man(2006年)
ブータ,天元突破グレンラガン
桂ヒナギク,ハヤテのごとく!
神裂火織,とある魔術の禁書目録
ヤッターマン2号/アイちゃん,ヤッターマン
竹井久,咲-Saki-
大神涼子,オオカミさんと七人の仲間たち
ハンナ・ユスティーナ・マルセイユ,ストライクウィッチーズ2
来海ももか,ハートキャッチプリキュア
ベル,ポケモンベストウイッシュ
ヒルデガルダ,べるぜバブ
ココ・ヘクマティアル,ヨルムンガンド
蘭,TEXHNOLYZE
姫倉麻貴,“文学少女”（劇場版）
コトナ・エレガンス,ゾイドジェネシス
柿崎美砂,魔法先生ネギま!
野上椒子,あさっての方向。
都築栞,ウィッチブレイド
アリス・L・マルヴィン,パンプキンシザーズ
九軒ひまわり,xxxHOLiC
ナディ,エル・カザド
一条瑛花,スカイガールズ
ハーさん,スケッチブックFULLcolor's
ダリー・アダイ,天元突破グレンラガン
ちかげ,ながされて藍蘭島
レイチェル,BACCANO!
久遠寺森羅,君が主で執事が俺で
黒羽まなみ,レンタルマギカ
タルヴィッキ・ラウノ,モーレツ宇宙海賊
紅翼,セキレイ
アマンダ・ウェルナー,ブラスレイター
如月美冬,タユタマ -Kiss on my Deity-
セラ・D・ミランダ,バスカッシュ!
江ノ本慧,初恋限定。
江藤不二子,いちばんうしろの大魔王
汽口慚愧,刀語
小鳥遊梢,WORKING!!
秋山千歳,そふてにっ
あげっち,たまごっち!
篁美星,ロウきゅーぶ!
美島奈々,エリアの騎士
リリアナ,クイーンズブレイドリベリオン
藤島麻衣子,ココロコネクト
姫島朱乃,ハイスクールD×D
ミーサ・グランドウッド,モーレツ宇宙海賊
六合塚弥生,PSYCHO-PASS
メルダ・ディッツ,宇宙戦艦ヤマト2199
ベローズ,翠星のガルガンティア
大原ななこ〈2代目〉,クレヨンしんちゃん
高尾部長,ディーふらぐ!
イリーナ・イェラビッチ,暗殺教室
ミッシェル・K・デイヴス,テラフォーマーズ
柊鈴菜,犬とハサミは使いよう
広野凪,ef
愛野美奈子/セーラーヴィーナス,美少女戦士セーラームーンCrystal
ドロシー,夜ノヤッターマン
アルエット,夜ノヤッターマン
リリー・エンストマック,ONE PIECE
総子,銀魂°
岡本舞子,ヤングブラック・ジャック
白木芽衣子,監獄学園
九条櫻子,櫻子さんの足下には死体が埋まっている
フローレイティア=カピストラーノ,ヘヴィーオブジェクト
オカ研部長/エリカ・バーミリオン,まほらば
リル,Lostorage incited WIXOSS
火鳥真斗,あまんちゅ!
エレン・M・メイザース,デート・ア・ライブ
東方朋子,ジョジョの奇妙な冒険 ダイヤモンドは砕けない（※豊口めぐみの代役）
伊織・F・刹那,俺の妹がこんなに可愛いわけがない
澄風桐子,Occultic;Nine
夏目律,正解するカド
ベリアル,sin　七つの大罪
テオーリア,銀河機攻隊マジェスティックプリンス
ヘルヴィ・オーバーリ,ナイツ&マジック
赤の女王,異世界食堂
アイスレーダー,時間の支配者
お松,妖怪ウォッチシャドウサイド
鳥羽美波,ゆるキャン△
