リアリティ☆マジ,SKETDANCE
メリー・ナイトメア,夢喰いメリー
レミ・ルース,機動戦士ガンダムAGE
神凪雅,この中に1人、妹がいる!
蕪羅亭魔梨威,じょしらく
大瑠璃あやみ,プリティーリズム・ディアマイフューチャー
一色あかね,ビビッドレッド・オペレーション
榎本結子,恋愛ラボ
大連寺鈴鹿,東京レイヴンズ
越谷夏海,のんのんびより
りんね,プリティーリズム・レインボーライブ
鹿島撫子,未確認で進行形
保登心愛(ココア),ご注文はうさぎですか?
紅林遊月,selector_infected_WIXOSS
シルヴィア・ロートレアモン,星刻の竜騎士
モア,SHOWBYROCK!!
澤部椿,四月は君の嘘
レディリー=タングルロード,とある魔術の禁書目録 エンデュミオンの奇蹟
霜月美佳,PSYCHO-PASSシリーズ
小野寺春,ニセコイ
一色いろは,やはり俺の青春ラブコメはまちがっている。
エヴァ・フロスト,テラフォーマーズ
風間レヴィ,トリニティセブン
ティア・ライトニング,銃皇無尽のファフニール
ギャスパー・ヴラディ,ハイスクールD×D
織田光永,ひめゴト
ハルカ少尉,みりたり!
簗瀬芽依,あいうら
岐神海蘊,シドニアの騎士
友利奈緒,Charlotte
月銀舞亜,アクエリオンロゴス
絢瀬亜里沙,ラブライブ!
御島明日香,君のいる町
間宮あかり,緋弾のアリアAA
天上院騎咲,電波教師
竹川蛍,蛍火の杜へ
心崎冬菜,幻影ヲ駆ケル太陽
ドロシー,ガラスの花と壊す世界
ソリュシャン・イプシロン,オーバーロード
ジゼル,GATE 自衛隊彼の地にて、斯く戦えり
麗日お茶子,僕のヒーローアカデミア
レナ・アステリア,レガリア The Three Sacred Stars
倉橋海帆,クロスロード
成沢稜歌,Occultic;Nine
岸辺颯汰 / ラ・ピュセル,魔法少女育成計画(アニメ版)
常木耀,セイレン
花岡雫,ボールルームへようこそ
梶亮子,徒然チルドレン
夷川海星,有頂天家族
少女,ガンダムビルドファイターズトライ アイランド・ウォーズ
ティー,キノの旅(2017年版)
ボルツ,宝石の国
庭取,十二大戦
お銀,ガールズ&パンツァー
速杉ハヤト,新幹線変形ロボシンカリオン
大澤悠,ラーメン大好き小泉さん
夜叉神天衣,りゅうおうのおしごと!
花子さん,ゲゲゲの鬼太郎(第6期)
如春尼,信長の忍び
狛井蓮季,寄宿学校のジュリエット
中野四葉,五等分の花嫁
