霧隠シュラ,青の祓魔師
塔原直哉,アスタロッテのおもちゃ!
斑鳩いぶき,明日のよいち!
ナギ,イヴの時間
原田真琴,宇宙戦艦ヤマト2199
右代宮縁寿,うみねこのなく頃に
葉山辰吉,えむえむっ!
宮下涼音,おおきく振りかぶって
ルイズ・フロイス,織田信奈の野望
ラティ・カーティ,カードファイト!! ヴァンガード レギオンメイト編
ナトーラ・エイナス,機動戦士ガンダムAGE
ミューディー・ホルクロフト,機動戦士ガンダムSEED C.E.73 STARGAZER
神代真名,機神大戦ギガンティック・フォーミュラ
牧穂乃香,キズナイーバー
乱崎月香,狂乱家族日記
百地乱破,銀魂
劉備玄徳,鋼鉄三国志
町子リョウ,幸腹グラフィティ
臼沢塞,咲-saki- 全国編
チャル,サルゲッチュ 〜オンエアー〜
川尻早人,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
ユギリ・プリネシカ,神曲奏界ポリフォニカ
春原彩花,すのはら荘の管理人さん
芹沢水結,大図書館の羊飼い
田中ぷにえ,大魔法峠
千歳ミユキ,テニスの王子様
キヨウ,天元突破グレンラガン
御坂美琴,とある魔術の禁書目録
赤羽くれは,ナイトウィザード
多軌透,夏目友人帳
望月千鶴,にゃんこい!
秋川勇太,ネットゴーストPIPOPA
天宮椎菜,乃木坂春香の秘密
加賀山楓,のんのんびより
遊山赫乃丈,幕末機関説 いろはにほへと
東宮康太郎,ハヤテのごとく!
牧村志織,ハヤテのごとく!
東聡莉,バンブーブレード
火野レイ/セーラーマーズ,美少女戦士セーラームーンCrystal
れんタン,びんちょうタン
ソフィー,ふしぎ星の☆ふたご姫
朝日奈絵麻,BROTHERS CONFLICT
グンドュラ・ラル,ブレイブウィッチーズ
伊佐那海,BRAVE10
海晴,Baby Princess 3Dぱらだいす0
錦野麻弓,僕らはみんな河合荘
ネギ・スプリングフィールド,魔法先生ネギま!
佐藤,迷い猫オーバーラン!(右側)
武嶋蔦子,マリア様がみてる
南春香,みなみけ
浅野凛,無限の住人
いお,蟲師
双道ダン,メタルファイトベイブレード
双道レイキ,メタルファイトベイブレード(左側)
ジェニー・ドリトル,モーレツ宇宙海賊
佐隈りん子,よんでますよ、アザゼルさん。
モーラ・チェスター,六花の勇者
ベビー5,ONE PIECE
蜂谷千春,アイカツフレンズ!
ハナ(左側),神さまのいない日曜日
御子柴五十鈴,Free!-Dive to the Future-
美柳ちなみ,逆転裁判pixivimage::s]
"",pixivimage::s]
