ナギ,Aチャンネル
望月知美,侵略!?イカ娘
鷺森灼,咲-Saki-阿知賀編episode of side-A
紅葉,貧乏神が!
桜田杏,黒魔女さんが通る!!
ダビィ/DB,ドキドキ!プリキュア
矢島美怜,げんしけん二代目
病院坂法子,断裁分離のクライムエッジ
木崎真弓,はたらく魔王さま!
猪熊陽子,きんいろモザイク
アレス,戦勇。
キリシマ,蒼き鋼のアルペジオ -アルス・ノヴァ-
宮本るり,ニセコイ
マルガレタ・オキーフ,バディ・コンプレックス
高島礼,ダイヤのA
仙都木優麻,ストライク・ザ・ブラッド
千葉エリカ,魔法科高校の劣等生
鳳美煌,さばげぶっ!
犬吠埼風,結城友奈は勇者である
ハリー・トライベッカ,魔法少女リリカルなのはvivid
エトワール/エステル・デ・ラ・ファーノ,アルスラーン戦記
フミタン・アドモス,機動戦士ガンダム鉄血のオルフェンズ
ボーゼス・コ・パレスティー,GATE自衛隊 彼の地にて、斯く戦えり
イレーネ・ウルサイス,学戦都市アスタリスク
マーレ・ベロ・フィオーレ,オーバーロード
トップスピード,魔法少女育成計画
天野恩紗,ばくおん!!
パック,Re:ゼロから始める異世界生活
新海ハル,デジモンユニバース アプリモンスターズ
黒蜜（左側）,境界のRINNE 第2シリーズ
ミカエル,sin　七つの大罪/七つの美徳
ルチル,宝石の国
すねこすり,ゲゲゲの鬼太郎
