ソウル=イーター,ソウルイーター
結城夏野,屍鬼
ミッドナイト,FAIRYTAIL
ジャック,メタルファイトベイブレード
織斑一夏,インフィニット・ストラトス
浅羽悠太,君と僕。
ダリル・ヤン,ギルティクラウン
余賀公麿,C
天城カイト,遊戯王ZEXAL
カグラ・デムリ,アクエリオンEVOL
滝川吉野,絶園のテンペスト
宇佐美夏樹,つり球
石蕗恵汰,貧乏神が!
火竜院忍,メタルファイトベイブレードZERO-G
バナージ・リンクス,機動戦士ガンダムUC
ギン,蛍火の杜へ
コテツ,ポケモンベストウイッシュ
坂上拓実,心が叫びたがってるんだ。
相楽深行,RDG
メルエム,HUNTER×HUNTER(2011年版)
一条楽,ニセコイ
乾カゲトラ,ダンボール戦機ウォーズ
木戸浩志,ばらかもん
アリス・カラー,神さまのいない日曜日
月島蛍,ハイキュー!!
隼鷹・ディオ・ウェインバーグ,バディ・コンプレックス
辰,蟲師
スマイル(月本誠),ピンポン
アイオーン,SHOWBYROCK!!
可児江西也,甘城ブリリアントパーク
クラヴィス,デス・パレード
乙坂有宇,Charlotte
ゴルドフ・アウオーラ,六花の勇者
桐嶋郁弥,ハイ☆スピード!
メッサー・イーレフェルト,マクロスΔ
直江剛,虹色デイズ
死柄木弔,僕のヒーローアカデミア
足立正広,WWW.WORKING!!
ユーリ・プリセツキー,ユーリ!!!onICE
シロウ・コトミネ,Fate/Apocrypha
ルツ,魔法使いの嫁
ベネディクト・ブルー,ヴァイオレット・エヴァーガーデン
バヤジット,将国のアルタイル
不動明,Devilman Crybaby
杉山高志,風が強く吹いている
