船見まり,ゆるゆり
散華礼弥,さんかれあ
小鳥遊六花,中二病でも恋がしたい!
天使真央,GJ部
黒騎れい,ビビッドレッド・オペレーション
森園わかな,プリティーリズム・レインボーライブ
日向千穂,K
紫藤イリナ,ハイスクールD×D
イズミ・ユノモト,モーレツ宇宙海賊
フレンダ=セイヴェルン,とある科学の超電磁砲S
一ノ瀬はじめ,ガッチャマンクラウズ
古賀沼美埜里,アウトブレイク・カンパニー
壱岐ひより,ノラガミ
青葉千歳,Z/X-Zillions of enemy X-
姉帯豊音,咲-saki-
桐間紗路,ご注文はうさぎですか?
八舞耶倶矢,デート・ア・ライブ
アルカ=ゾルディック,HUNTER×HUNTER(2011年日テレ版)
吉岡双葉,アオハライド
小海はるか,RAILWARS!
トゥアール,俺、ツインテールになります。
官越ひめる,アニメで分かる心療内科
リリルカ・アーデ,ダンジョンに出会いを求めるのは間違っているだろうか
ゲッちゃん,ロボットガールズZ
吉野悠姫,食戟のソーマ
伊藤雅,山田くんと7人の魔女
ドラたん,えとたま
婁震華,ケイオスドラゴン
栗林志乃,GATE 自衛隊 彼の地にて、斯く戦えり
リーシャ・アンローベ,DOGDAYS(2期以降)
茂木なつき,頭文字D(新劇場版)
西森柚咲,Charlotte
ナミエ・ポートマン,白銀の意思アルジェヴォルン
水無瀬小糸,無彩限のファントム・ワールド
菖蒲,甲鉄城のカバネリ
ミイ,あいまいみー
ムッシュ・ムクンヌ,ヒミツのここたま
レッドベリル,宝石の国
エルゼ・シルエスカ,異世界はスマートフォンとともに。
万年大会,スロウスタート
目良千里,斉木楠雄のΨ難
桐山真,たくのみ。
エリン,聖戦ケルベロス
中西獲座,キリングバイツ
笹原さつき,徒然チルドレン
マチエール,ポケモンジェネレーションズ
三隅美也,ブレイブウィッチーズ
赤丸純,エクスメイデン
白河香織,「人生」
受付嬢,ゴブリンスレイヤー
