松岡正宗,青春×機関銃
ソン・ハク,暁のヨナ
勅使河原直哉,Another
橘純一,アマガミSS
逆崎無限,イナズマイレブンGO
剣城優一,イナズマイレブンGO
龍崎皇児,イナズマイレブンGO
波戸イワト,M3～ソノ黒キ鋼～＊1
柊暮人,終わりのセラフ
峯沢維弦,Caligula＊2
天河一,キズナイーバー
石動・カミーチェ,機動戦士ガンダム鉄血のオルフェンズ
景浦晶,銀河へキックオフ!!
シューベルト,クラシカロイド
チャールズ・フィップス,黒執事
鬼ヶ島鳳凰,喧嘩番長 乙女 -Girl Beats Boys-
藤本清和,こばと。
六神通（照橋信）,斉木楠雄のΨ難
レオン・ラウ,重神機パンドーラ
篠崎桂一郎,少年メイド
海棠晴,SUPER LOVERS
空閑愁,スタミュ-高校星歌劇-
雪名皇,世界一初恋
大八木朔,宙のまにまに
原田雅功,ダイヤのA
出雲ハルキ,ダンボール戦機ウォーズ
デキム,デス・パレード
ヴェルドラ=テンペスト,転生したらスライムだった件
堂上篤,図書館戦争
真田幸村,殿といっしょ
ユー,トリコ
小岩井誉,ネト充のススメ
明堂院さつき,ハートキャッチプリキュア!
嶋田誠,ハイキュー!!
聞仲,覇穹 封神演義
ヴォルト・ラスター,爆丸バトルブローラーズ
犬飼現八,八犬伝-東方八犬異聞-
白血球,はたらく細胞
大柴康介,ひとりじめマイヒーロー
安倍晴齋,不機嫌なモノノケ庵
速水ヒロ,プリティーリズム・レインボーライブ
ディーノ,ブレンド・S＊3
大林良,ベイビーステップ
チギル・チギール,ヘボット!
ヘリオス,メタルファイトベイブレード
オービタル7,遊☆戯☆王ZEXAL
北野右京,遊☆戯☆王ZEXAL
ミケーレ・クリスピーノ,ユーリ!!!onICE
福富寿一,弱虫ペダル
直継,ログホライズン
木崎レイジ,ワールドトリガー
イエヤス,千銃士＊2
"",pixivimage::s]
"",pixivimage::s]
