赤堤ももこ/ハイパー・ブロッサム,出ましたっ!パワパフガールズZ
霞愛歌,ハヤテのごとく!
柊かがみ,らき☆すた
メイリン,黒執事
ブレア,ソウルイーター
磯崎蘭（手前）,テレパシー少女蘭
八九寺真宵,化物語
湯宮ケンタ,メタルファイトベイブレード
関根,AngelBeats!
木下秀吉,バカとテストと召喚獣
木下優子,バカとテストと召喚獣
キュゥべえ,魔法少女まどか☆マギカ
御船流子,電波女と青春男
カッピ,はっぴ～カッピ
著莪あやめ,ベン・トー
ココ,つり球
大室櫻子,ゆるゆり
彩瀬なる,プリティーリズム・レインボーライブ
ディスク,NEEDLESS
ヒメちゃん,戦勇。
みらいっち,たまごっち! ～みらくるフレンズ～
アカツキ,ログ・ホライズン
シフォン,ふしぎ星の☆ふたご姫Gyu!
玉置カズラ,絶対可憐チルドレン
ミンタイ,アラド戦記
不知火半袖,めだかボックス
神山咲夜,Candyboy
高山ケイト,僕は友達が少ない
鳳条院聖華（アニメ版）,プリンセスラバー!
五十嵐カエデ,生徒会役員共
伊勢崎恵梨,それでも町は廻っている
有馬小夜,だぶるじぇい
新田エリ,ほんとにあった!霊媒先生
織田信勝,織田信奈の野望
若旦那,のうりん
近藤麻衣,"WakeUp,Girls!"
太郎丸,がっこうぐらし!
テララ,カミワザ・ワンダ
ゼットン,怪獣娘〜ウルトラ怪獣擬人化計画〜
コニー,ドラえもん
九鬼円（右側）,異能バトルは日常系のなかで
才川リコ,小林さんちのメイドラゴン
