デュナン・ナッツ,アップルシード
北島マヤ,ガラスの仮面(1984年版)
ダイアン・ランス,機甲戦記ドラグナー
不破環生,機動警察パトレイバー
レコア・ロンド,機動戦士Ζガンダム
フォンシュピッツヴェーグ卿ツェツィーリエ,今日からマ王!
荒岩虹子,クッキングパパ＊1
紗烙三蔵法師,最遊記RELOAD BLAST
ドル・サタン,獣神ライガー
汕子,十二国記
シェフィールド,ゼロの使い魔
鉄火のマキちゃん(2代目),それいけ!アンパンマン
国枝美子,太陽の勇者ファイバード
アテナ・ヘンダーソン,超時空世紀オーガス
クラウド・ナイン,D.Gray-man
パジラモン,デジモンテイマーズ
ティアラ,ドラゴンクエスト 勇者アベル伝説
六星龍（乙姫）,ドラゴンボールGT＊2
マリア・クッチャラ,トラップ一家物語
綱手,NARUTO
伊狩増代,ハイスクール!奇面組
柳たまみ,爆走兄弟レッツ&ゴー!!
海王みちる/セーラーネプチューン,美少女戦士セーラームーンS
ヤマト,ポケットモンスター
ゴジカ,ポケットモンスターXY
マリアンネット,魔神英雄伝ワタル
迦遊羅,鎧伝サムライトルーパー
シャーロット・スムージー,ONE PIECE
