風祭鷹介,元気爆発ガンバルガー
縞野しまじろう,しまじろうシリーズ
原島拓矢,黄金勇者ゴルドラン
ホシノ・ルリ,機動戦艦ナデシコ
加村直澄,こどものおもちゃ
伊集院玲,CLAMP学園探偵団
畠山則安,はれときどきぶた
アカネ,おじゃる丸
ニコリン坊,おじゃる丸
めそ,すごいよ!!マサルさん
マジク・リン,魔術士オーフェン
ハイアット,エクセル・サーガ
ニケ（2000年アニメ版）,ドキドキ♡伝説 魔法陣グルグル
オリビエ・ポーランジェ,爆転シュートベイブレード
花島恵,フルーツバスケット＊画像上
嵐山セーラ,G-onらいだーす
ドヴェルグ,キディ・グレイド
サロマ,ロックマンエグゼ
鈴木みか,せんせいのお時間
ディーノ・スパークス,レジェンズ 甦る竜王伝説
ヨアンナ,ガン×ソード
ユーフェミア・リ・ブリタニア,コードギアス
ヘンゼル,ブラックラグーン
たま,銀魂
弥生ミーナ,月面兎兵器ミーナ
森まどか,ゴーストハント
宇佐美真由実,GA芸術科アートデザインクラス
吉岡紗江子,みつどもえ
スズ,劇場版スイートプリキュア
范星露,学戦都市アスタリスク
マルコシアス,無彩限のファントム・ワールド
"",pixivimage::s]
"",pixivimage::s]
