ヒビキ・トカイ,ヴァンドレッド
リュウト,電脳冒険記ウェブダイバー
白虎のガイ,天使のしっぽ・セイント・ビースト
マメタロウ,まっすぐにいこう。
目瑶二,LOVELESS
クロム,クラスターエッジ
宮城カイ,BLOOD+
平古場凛,テニスの王子様
ゼッド,牙-KIBA-
墨村良守,結界師
フィーロ・プロシェンツォ,バッカーノ!
吾代忍,魔人探偵脳噛ネウロ
三好葵,閃光のナイトレイド
小津,四畳半神話大系
牛頭丸,ぬらりひょんの孫
ブリーフ,パンティ&ストッキングwithガーターベルト
ニョキ,SHIN-MEN(クレヨンしんちゃん)
藤崎佑助(ボッスン),SKETDANCE
ゾルフ・J・キンブリー,鋼の錬金術師(2009年版)
荀彧,蒼天航路
真田貴大,名探偵コナン
ソフィロ・カリア・ロス・イゾ(イゾ),輪廻のラグランジェ
ガブ,あらしのよるに～ひみつのともだち～
鎖部哲馬,絶園のテンペスト
ゲンスルー,HUNTER×HUNTER(2011年版)
小茂井シンゴ,カードファイト!!ヴァンガード
霊屋ユウスケ,革命機ヴァルヴレイヴ
下鴨矢二郎,有頂天家族
荒北靖友,弱虫ペダル
犬牟田宝火,キルラキル
ミャウ,スペース☆ダンディ
猫田銀八(戦後編),はじめの一歩
ジュリオ・ディ・アンジェロ,爆走兄弟レッツ&ゴー!!WGP
アントニオ,マジンボーン
ズミ,ポケットモンスターXY 特別編最強メガシンカ
獅子河原萌笑,BLEACH
春田浩次,とらドラ!
イドリス・タイタニア,TYTANIA
玄,夏目友人帳
トレイズ・ベイン,アリソンとリリア
ランズボロー,夢喰いメリー
岩泉一,ハイキュー!!
浦上,寄生獣
住田光一,ミルモでポン!
高梨太郎,SHIROBAKO
鏡伶路,東京レイヴンズ
ミネ夫君(右下),ぷるるんっ!しずくちゃん
種子島率,めだかボックス
世良忠典,Free!シリーズ
タカチン,銀魂
デーモンオクレ,妖怪ウォッチ
マーク・トウェイン,文豪ストレイドッグス
プレゼント・マイク,僕のヒーローアカデミア
ファバロ・レオーネ,神撃のバハムートGENESIS
南ナツキ,みなみけ
ダイチ,しゅごキャラ!
肺炎球菌,はたらく細胞
ウルベルト・アレイン・オードル,オーバーロード
