ララ・ルゥ,今、そこにいる僕
光月未夢,だぁ!だぁ!だぁ!
草摩杞紗,フルーツバスケット
昴,.hackシリーズ
コゼット,レ・ミゼラブル 少女コゼット
ちりり,瓶詰妖精
鳳仙エリス,Canvas2
エウレカ,交響詩篇エウレカセブン/エウレカセブンAO
チィ,ツバサ・クロニクル
登戸沙那,イノセント・ヴィーナス
谷山麻衣,ゴーストハント
ナナリー・ランペルージ,コードギアスシリーズ
ユン,シムーン
虎金井天々,すもももももも
ちょめ助,D.Gray-man
白鳥ありす,もえたん
ニャン美,ギャグマンガ日和
小野妹子,ギャグマンガ日和3～
リネット・ビショップ,ストライクウィッチーズ
中務椿,ソウルイーター
リディア,TYTANIA
湯浅比呂美,truetears
古手川唯,ToLOVEる
三郷雫,けんぷファー
大道雅,GA芸術科アートデザインクラス
清正小町,ファンタジスタドール
マリア・ロス,鋼の錬金術師 FULLMETAL ALCHEMIST
天童遊,メタルファイトベイブレード
ハイディ・オーゲザヴァラー,境界線上のホライゾン
豊臣秀吉,戦国コレクション
立花つぼみ,ないしょのつぼみ
テイ,トワノクオン
安藤なつ,30歳の保健体育
鮎川天理/ディアナ,神のみぞ知るセカイ
主人公,AMNESIA
公ちゃん,おじゃる丸
マタン,Zektbach
美遊・エーデルフェルト,プリズマ☆イリヤ
清水潔子,ハイキュー!!
高山三佐,ログ・ホライズン
ナズナ,ログ・ホライズン
兎澤綺,蟲師
宮内一穂,のんのんびより
チェルシー,アカメが斬る!
キャリー（キャロライン）,絶対可憐チルドレン
わたあめひめ,ぜんまいざむらい
双海亜美,アイドルマスターXENOGLOSSIA
木々・セイラン,赤髪の白雪姫
森京子,ふたりはプリキュア
リズ,魔法つかいプリキュア!
先島あかり,凪のあすから
カヤ・バーグマン,夏のあらし!
カペラ・ティティス,鉄腕バーディーDECODE
深澤ゆき,OverDrive(漫画)
フレデリカ・バウマン,Re:ゼロから始める異世界生活
マーガレット・ミッチェル,文豪ストレイドッグス
ひめばらっち,たまごっち!
葉隠透,僕のヒーローアカデミア
Mt.レディ,僕のヒーローアカデミア
ピピ美,ポプテピピック※第6話Aパート
ロレンツィア,シュヴァリエ~LeChevalierD'Éon~
新城絵麻,アイカツ!
ポー,スペース☆ダンディ
平坂道反,K(アニメ)
ラピス,レンタルマギカ
小川芽衣,バンブーブレード
日登美真弓,ひそねとまそたん
日野リタ,キャプテン・アース
