タチアナ・ヴィスラ,LASTEXILE
星羅,マーメイドメロディ ぴちぴちピッチ ピュア
音無小夜,BLOOD+
菊地真,アイドルマスターXENOGLOSSIA
九重りん,こどものじかん
ゆい,こはるびより
不知火明乃,瀬戸の花嫁
内田ユカ,みなみけ
遠矢莉磨,ヴァンパイア騎士
春日ナツキ,喰霊-零-
川嶋亜美,とらドラ!
夏侯淵妙才,一騎当千
シエスタ410,うみねこのなく頃に
東ひなた,かなめも
戦闘教官アレイン,クイーンズブレイド
月映静,大正野球娘。
イヴ・ノイシュヴァンシュタイン,NEEDLESS
阿良々木火憐,化物語
カナ・アルベローナ,FAIRYTAIL
蒼乃美希/キュアベリー,フレッシュプリキュア
ユイ,AngelBeats!
高城沙耶,学園黙示録
クレハ,ソ・ラ・ノ・ヲ・ト
折原舞流,デュラララ!!
轟八千代,WORKING!!
神木出雲,青の祓魔師
高梨奈緒,お兄ちゃんのことなんかぜんぜん好きじゃないんだからねっ!!
リザ・ワイルドマン,怪物王女(OVA)
七々原薫子,乙女はお姉さまに恋してる 2人のエルダー(OVA)
レパード,夜ノヤッターマン
明智ミツヒデ,戦国乙女～桃色パラドックス～
沢夏琴音,そふてにっ
藤原愛実,HIGH SCORE
羽柴泉水,HIGH SCORE
ガネッサ・ローランド,フリージング
美樹さやか,魔法少女まどか☆マギカ
涼月奏,まよチキ!
庚霧江,黄昏乙女×アムネジア
ジェシカ・カイオス,ダンボール戦機W
八坂真尋,這いよれ!ニャル子さん
小鳥遊美羽,パパのいうことを聞きなさい!
出灰カガリ/チャリオット,ブラック★ロックシューター
ホミカ,ポケットモンスター ベストウイッシュ
名取羽美,かってに改蔵
星河せいら,幻影ヲ駆ケル太陽
二階堂嵐,お兄ちゃんだけど愛さえあれば関係ないよねっ
ダージリン,ガールズ&パンツァー
ツチヤ,ガールズ&パンツァー
上野錐霞,C³-シーキューブ
バハムート,絶対防衛レヴィアタン
お香,鬼灯の冷徹
アデライド・グランマニエ,DOGDAYS
サリア,クロスアンジュ天使と竜の輪舞
小泉紅子,まじっく快斗1412
八瀬,京騒戯画
リオ・ウェズリー,魔法少女リリカルなのはViVid
小田切寧々,山田くんと7人の魔女
若林いおり,おじさんとマシュマロ
酒田響,くまみこ
赤羽市,青春×機関銃
仄姉妹,シドニアの騎士
ハニー,ハマトラ
町田さわ子,バーナード嬢曰く。
芦戸三奈,僕のヒーローアカデミア
葉月しずく,NEWGAME!
リサ・ラブロック,タブー・タトゥー
ビマージョ,タイムボカン24
相卜命,斉木楠雄のΨ難
セリカ=アルフォネア,ロクでなし魔術講師と禁忌教典
ルシファー,sin　七つの大罪
近藤アネンコフ,てーきゅう
ミーティ,メイドインアビス
ソフィ,メタルファイトベイブレード
椎名亜樹,すのはら荘の管理人さん
