小石川光希,ママレード・ボーイ
小璘,まもって守護月天!
おキヌちゃん,GS美神
水瀬名雪,Kanon
ホリィ,モンスターファーム
ユキ※1,忍たま乱太郎
ホットサンドちゃん,それいけ!アンパンマン
ミントちゃん,それいけ!アンパンマン
プリシラ,名犬ラッシー
ヘラジカ,けものフレンズ
星空育代,スマイルプリキュア!
ミラージュ,ハピネスチャージプリキュア!
カヤ,ONEPIECE
瀬戸瑞紀,名探偵コナン
ふしぎ魔女っ子マリーちゃん,クレヨンしんちゃん
ユリ,ダーティペアFLASH
ユミ・フランソワ,宇宙の騎士テッカマンブレードⅡ
未夢・エミルトン,アイドルプロジェクト
長谷川花子,HAUNTEDじゃんくしょん
田ボ,ボボボーボ・ボーボボ
ルビー,ボボボーボ・ボーボボ
大門小百合,デジモンセイバーズ
メロママっち,たまごっち!※イラスト右
玖蘭樹里,ヴァンパイア騎士
ゴメちゃん,ダイの大冒険※2
月天使クララ,探検ドリランド
ルファ,ドラゴンハーフ
ギルギルガン子,ロボットガールズZ+
ルーヒー・ジストーン,這いよれ!ニャル子さん
白金神子,出ましたっ！パワパフガールズZ
キャウェイ, ドラゴンボール超
アリス,妹さえいればいい。
朱子, きんぎょ注意報!
