来生愛,キャッツアイ
中沢早苗,キャプテン翼(昭和版)
のらくろ,のらくろクン(1987年版)
てんどんまん,それいけ!アンパンマン
チンミ,鉄拳チンミ
ムカムカ,ムカムカパラダイス
バク丸,十二戦支爆烈エトレンジャー
柳宿,ふしぎ遊戯
榎木実,赤ちゃんと僕
夜天光/セーラースターヒーラー,美少女戦士セーラームーン
サスケ(2代目),がんばれゴエモン
クリリン,コロコロクリリン
クロ,サイボーグクロちゃん
コロモン,デジモンアドベンチャー
アグモン,デジモンアドベンチャー
迅キョウスケ,激闘!クラッシュギアTURBO
スペクター,サルゲッチュ
シャウトモン,デジモンクロスウォーズ
花咲薫子/キュアフラワー,ハートキャッチプリキュア
クック・ポロン,デュエルマスターズ
ヨニ,幻夢戦記レダ
如月瞬,ここはグリーンウッド
草壁メイ,となりのトトロ
クラウンマン,ロックマン8
トラ,うちのタマ知りませんか?
安田雪美,ナイン
竜子ちゃん,イタダキマン
新城童夢,ミラクルジャイアンツ童夢くん
つる姫,つる姫じゃ～っ!
ハジメ,平成天才バカボン
芦屋アシベ,少年アシベ
ステリー,ONEPIECE
ヒューイ・デューイ・ルーイ(2代目),ディズニー
大柳賢(ジャンケン小僧),ジョジョの奇妙な冒険 ダイヤモンドは砕けない(イラスト右)
神勝平,無敵超人ザンボット3※
【A-H】ハーモニー,ツインシグナル
樒,鬼灯の冷徹
ニャンジャ,それいけ!アンパンマン（ドキンちゃんのドキドキカレンダー）
ベティ・ブープ,ロジャー・ラビット
