マシュマー・セロ,機動戦士ガンダムΖΖ
メフィスト,スイートプリキュア
錦えもん,ONEPIECE
ペイン,NARUTO
千手扉間,NARUTO
ジャミル・ニート,機動新世紀ガンダムX
ブラッド・キッド,焼きたて!!ジャぱん
一龍,トリコ
イルボラ・サロ,忍者戦士飛影
雲童塊,ハイスクール!奇面組
ライト・ニューマン,機甲戦記ドラグナー
サンソン,ふしぎの海のナディア
ニャオン,ニャニがニャンだーニャンダーかめん
インダラモン,デジモンテイマーズ
ロデム,バビル2世（2001年版）
フォンドヴォー,コロッケ!
ドクター・リー,TYTANIA
カギ爪の男（クー・クライング・クルー）,ガン×ソード
鷹村卓,はじめの一歩
滝一,キャプテン翼(昭和版)
反町一樹,キャプテン翼(昭和版)
灰原由起夫,まほらば
グイン,グイン・サーガ
花咲空,ハートキャッチプリキュア!
佐々木編集長,バクマン。
横澤隆史,世界一初恋
ゴトー,HUNTER×HUNTER（2011年版）
天貝繍助,BLEACH
トキ,真救世主伝説 北斗の拳
満艦飾薔薇蔵,キルラキル
イカルゴ,HUNTER×HUNTER（2011年版）
メタルフェイス,B'T-X
ヤマナミさん(ジャン・トラード・タケオ六世,アニマル横町
結城中佐,ジョーカー・ゲーム
ヴィルヘルム・ヴァン・アストレア,Re:ゼロから始める異世界生活
猫好好,鬼灯の冷徹
長谷川平蔵,鬼平
さんしょうくん（メイン右下）、たいこまん、たぬきおにほか,それいけ!アンパンマン
ヘルマン・ルイス,炎の刻印
刑部だぬき,ゲゲゲの鬼太郎6期
ナリヤ・オーキド(2代目),ポケットモンスター サン＆ムーン※1
北神,幽遊白書
