リーザ・フローラ・メルノ,アークザラッド
光明寺ミツコ,人造人間キカイダー THE ANIMATION
ミラベル,王ドロボウJING
成瀬川なる,ラブひな
柊六奈,六門天外モンコレナイト
咲耶,シスタープリンセス
アイアンメイデン・ジャンヌ,シャーマンキング
本田透,フルーツバスケット
こま,朝霧の巫女
椎名ゆや,SAMURAI DEEPER KYO
竹内理緒,スパイラル～推理の絆～
大堂寺繭良,魔探偵ロキRAGNAROK
丸山シルヴィア,陸上防衛隊まおちゃん
さらら,瓶詰妖精
一条薫子,双恋
菜ノ花自由,十兵衛ちゃん2
沢近愛理,スクールランブル
上原都,ぱにぽにだっしゅ!
佐々木まき絵,魔法先生ネギま!
茶ノ畑珠実,まほらば
ようこ,いぬかみっ!
宮小路瑞穂,乙女はお姉さまに恋してる
シエスタ,ゼロの使い魔
神泉やす菜,かしまし～ガール・ミーツ・ガール～
萩原雪歩,アイドルマスターXENOGLOSSIA
天宮学美,がくえんゆーとぴあ まなびストレート!
しろうさ,シュガーバニーズ
すず,ながされて藍蘭島
羽入,ひぐらしのなく頃にシリーズ
黒主優姫,ヴァンパイア騎士
櫛枝実乃梨,とらドラ!
ファティナ,ドルアーガの塔
井汲京子,青い花
右代宮真里亞,うみねこのなく頃に
ウリン,うみものがたり
西田はるか,かなめも
美嶋紅音,けんぷファー
福路美穂子,咲-Saki-
丸内翔子,さよなら絶望先生
野崎奈三子,GA芸術科アートデザインクラス
羽川翼,化物語
桐木アリス,オオカミさんと七人の仲間たち
ロダ,テガミバチ
氷麗&雪麗,ぬらりひょんの孫
沢桔鏡,ベン・トー
竹下美春,B型H系
鳴子叶絵,迷い猫オーバーラン!
エルフレダ・ミルヤスドッティル,アスタロッテのおもちゃ!
ミルヒオーレ・フィリアンノ・ビスコッティ,DOGDAYS
古宮柚子,猫神やおよろず
末広安那,放浪息子
夏芽真砂子、エスメラルダ,輪るピングドラム
傷有り,境界線上のホライゾン
織田莱香,パパのいうことを聞きなさい!
クーリエ,モーレツ宇宙海賊
赤座あかね,ゆるゆり
直枝理樹,リトルバスターズ!
櫛名アンナ,K
ユリア、マミヤ,DD北斗の拳
七海リオン,革命機ヴァルヴレイヴ
6代目柏木由紀,AKB0048
ミス・モノクローム,ミス・モノクローム -The Animation-
赤坂龍之介、メイドちゃん※,さくら荘のペットな彼女
加賀香子,ゴールデンタイム
キザクラ・ククリ,バトルスピリッツソードアイズ
明の明星のエリス,最強銀河究極ゼロバトルスピリッツ
ヤムライハ,マギ
松本頼子,ゆゆ式
セレナ・カデンツァヴナ・イヴ,戦姫絶唱シンフォギアG
飯田奈々,RAILWARS!
天童木更,ブラック・ブレット
サラ,クロスアンジュ天使と竜の輪舞
新導ミクル,カードファイト!!ヴァンガードG
堀江由衣(ゆりえほい),それが声優!
リコ/キュアマジカル,魔法つかいプリキュア!
ウィズ,この素晴らしい世界に祝福を!
フェリックス・アーガイル,Re:ゼロから始める異世界生活
二階堂夏歩,初恋モンスター
黒沼あいな,坂本ですが?
桐嶋日和,世界一初恋
ミラ・ジュリエッタ・ヴェスパランド,ルパン三世VS名探偵コナン
眉村道塁,MAJOR2nd
シャルル,FAIRYTAIL
