アリシア・フローレンス,ARIAシリーズ
ベルペオル,灼眼のシャナ
壱原侑子,ツバサ・クロニクル/xxxHOLiC
ミレイ・アッシュフォード,コードギアス 反逆のルルーシュシリーズ
周香凛,コードギアス 反逆のルルーシュR2
アイリスフィール・フォン・アインツベルン,Fate/Zero
エルザ・スカーレット,FAIRY TAIL
エルザ・ナイトウォーカー,FAIRY TAIL
式子内親王,超訳百人一首 うた恋い。
バルメ,ヨルムンガンド
東海林光,アクエリアンエイジ(OVA)
犬神鏡子,少女ファイト
レイラ・ハミルトン,カレイドスター
ミランダ・マーベリック,SoltyRei
メルファ,クイーンズブレイド
長谷川遥,もやしもん
原田理花,ハチミツとクローバー
黒崎真咲,BLEACH
高須泰子,とらドラ!
パクチー・ファラン,ロックマンエグゼ
有坂初音,となグラ!
テレスティーナ・木原・ライフライン,とある科学の超電磁砲
塙さよみ,たまゆら
島尾六花,夏雪ランデブー
梶原青,スケッチブックFULLcolor's
浅間美哉,セキレイ
はるか・グレイシア,バスカッシュ!
坂井まひる,TARI TARI
ステラ・ブレーメル,トータルイクリプス
二谷ゆかり,うさぎドロップ
リジット,翠星のガルガンティア
スズシロ・サオリ,白銀の意思アルジェヴォルン
界塚ユキ,アルドノア・ゼロ
天ノ川ステラ,Go!プリンセスプリキュア
パップル,HUGっと!プリキュア
ピーヴィー・バロヲイ（画像左）,C³
小鳥遊祐理,パパのいうことを聞きなさい!
セレーネ・マクグリフ,機動戦士ガンダムSEEDC.E.73STARGAZER
ラクウェル・カスール,スクラップド・プリンセス
加納紅葉,THE_UNLIMITED_兵部京介
ハンニバル・バルカ（画像右）,ノブナガ・ザ・フール
エル・カレン,ブレイドアンドソウル
チュウたん,えとたま
海王みちる/セーラーネプチューン,美少女戦士セーラームーンCrystal
辻彩,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
プリンセスプライマリー,ライブオン
スーパーシルフちゃん,戦闘妖精少女たすけて!メイヴちゃん(OVA)
五十嵐美由紀,ぱにぽに
栗原万里,監獄学園
マドレーヌ,ファンタジスタドール
石戸霞,咲-Saki-
火々里かざね,ウィッチクラフトワークス
小林艦長,シドニアの騎士
宮水二葉,君の名は。
パイモン,マギ
長良スミレ,ヱヴァンゲリヲン新劇場版:Q
レティ・ロウラン,魔法少女リリカルなのはA's(劇場版)
アリスの母,きんいろモザイク
小野寺菜々子,ニセコイ
薙切レオノーラ,食戟のソーマ
西園寺レイカ,銀河機攻隊マジェスティックプリンス
オーゼン,メイドインアビス
ティターニア,魔法使いの嫁
家永カノ,ゴールデンカムイ
水澄楓,おねがい☆ティーチャー
