キングスカッシャー,NG騎士ラムネ&40
ムーミンパパ,楽しいムーミン一家
ネモ,ふしぎの海のナディア
マーシャル・D・ティーチ,ONEPIECE
グウェンダル,今日からマ王!
ブラック・ジャック,ブラック・ジャック
京楽春水,BLEACH
ガルル中尉,ケロロ軍曹
岸谷森厳,デュラララ!!
ライダー,Fate/Zero
ウボォーギン,HUNTER×HUNTER（2011年版）
デミトリ・マキシモフ,ヴァンパイアハンター(OVA)
アナベル・ガトー,機動戦士ガンダム0083
冥王ハーデス,聖闘士星矢(OVA)
闘牙王,犬夜叉（劇場版）
ワムウ,ジョジョの奇妙な冒険
モンタナ・ジョーンズ,モンタナ・ジョーンズ
鵜堂刃衛,るろうに剣心
ムシバーン,映画 Yes! プリキュア5 Go Go! お菓子の国のハッピーバースディ♪
横溝参悟、横溝重悟,名探偵コナン
最強男爵,とっても!ラッキーマン※2
005/ジェロニモ・ジュニア,サイボーグ009（2001年版）
ツァビデル,みどりのマキバオー
ブライアン・ホーク,はじめの一歩
緒方一神斎,史上最強の弟子ケンイチ
至郎田正影,魔人探偵脳噛ネウロ
シャム,CANAAN
ムロボ,甲竜伝説ヴィルガスト
パラダイスキング,映画クレヨンしんちゃん 嵐を呼ぶジャングル
プロフェッサーガーベラ,SDガンダムフォース
プルートゥ,ASTRO BOY鉄腕アトム
エイハブ,白鯨伝説
エルク・ドメル,宇宙戦艦ヤマト2199
ライブベアラー,トリコ
西村宗一（鉄人）,バカとテストと召喚獣
キーク・キャラダイン,機甲猟兵メロウリンク
ミザイストム=ナナ,HUNTER×HUNTER（2011年版）
ザ・犀暴愚,劇場版キン肉マンⅡ世
山田伝蔵,忍たま乱太郎※1
オマツリ男爵,ONE PIECE THE MOVIE オマツリ男爵と秘密の島
サムソン・ボルジュ=ティルサル・ティルース,星界の戦旗
チュン・ウー・チェン,銀河英雄伝説
エクボ,モブサイコ100
アンドレイ・S・カリーニン,フルメタル・パニック!
【A-R】雷電,ツインシグナル（ドラマCD）
音井信之介,ツインシグナル（ドラマCD）
ドサ健,哲也-雀聖と呼ばれた男-
樫村蔵六,アリスと蔵六
オール・フォー・ワン,僕のヒーローアカデミア
播磨灘勲,ああ播磨灘
バトー,攻殻機動隊
まさやん,中間管理録トネガワ＊3
範馬勇次郎,グラップラー刃牙＊4
二瓶鉄造,ゴールデンカムイ
