ミラウー・キャオ,重戦機エルガイム
タップ・オセアノ,機甲戦記ドラグナー
ヤザン・ゲーブル,機動戦士Ζガンダム、機動戦士ガンダムΖΖ
チボデー・クロケット,機動武闘伝Gガンダム
ギャバン・グーニー,∀ガンダム
仙道彰,スラムダンク
堀田徳男,スラムダンク
ミーコ（熊谷徹雄）,シャングリ・ラ
阿伏兎,銀魂
メラン・ブルー,まりんとメラン
潮,聖闘士星矢
モンブラン・ノーランド,ONEPIECE
ゼファー,ONEPIECE
自来也,NARUTO
月読神臣,ささみさん@がんばらない
ジェイソン・ベック,THEビッグオー
黒鵺,幽遊白書 炎の絆
早田誠,キャプテン翼（第1作）
似蛭田妖,ハイスクール!奇面組
ウルトラマグナス,トランスフォーマー ザ☆ヘッドマスターズ
キョウ,ポケットモンスター
真田志郎,宇宙戦艦ヤマト2199
サムエル・J・フェネガン,八犬伝-東方八犬異聞-
キングジコチュー,ドキドキ!プリキュア
ネブラ,ケロロ軍曹
マカオ,クレヨンしんちゃん ヘンダーランドの大冒険
ギュンター・プロイツェン,ZOIDS
左方のテッラ(電話越しの声のみ),とある魔術の禁書目録
シロ,荒川アンダーザブリッジ
合コンの神様,おそ松さん
ハンス・フォン・ゼートゥーア,幼女戦記
陸 ,キノの旅（旧アニメ）
トバルカイン・アルハンブラ,HELLSING
ギロチンカッター,傷物語
佐藤,亜人
烏哭三蔵(你健一),最遊記
四木春也,デュラララ!!
ゲイツ,フルメタル・パニック!TheSecondRaid
ブックマン,D.Gray-man HALLOW
ピピ美,ポプテピピック(第1話Aパート)
かつぶしまん(一時期),それいけ!アンパンマン
ギガゾンビ(2016年),のび太の日本誕生
エイブラハム・グレイ,殺戮の天使
鶴見中尉,ゴールデンカムイ
