サイトー,攻殻機動隊
コンボイ,超ロボット生命体トランスフォーマー マイクロン伝説　
ラチェット,トランスフォーマー アニメイテッド
土方トシゾー,PAPUWA
ロイ・マスタング,鋼の錬金術師(2003年版)
ビドー,鋼の錬金術師(2003年版)
富竹ジロウ,ひぐらしのなく頃に
スピリット=アルバーン,ソウルイーター
ジェフリー・ワイルダー,マクロスF
ゲデヒトニス,ファイアボール
マットアラスト=バロリー,戦う司書
鑢六枝,刀語
修正液,ケシカスくん
尾崎敏夫,屍鬼
カズターノ,デュラララ!!
ブライアン・ロスコー,GOSICK
ウオルター・ローリー,境界線上のホライゾン
クリストファー・ハットン,境界線上のホライゾン
首領・ヴァレンティーノ,キューティクル探偵因幡
ヒースクリフ,ソードアート・オンライン
ジョン,銀牙伝説WEED
狩矢神(画像左),BLEACH
イアソン・ミンク,間の楔(新OVA)
水木,墓場鬼太郎
竜之介の父,OVAうる星やつら ザ・障害物水泳大会※1
0011,サイボーグ009(平成版)
004/アルベルト・ハインリヒ,009 RE:CYBORG
センゴク(2代目),ONEPIECE※2
天神/菅原道真,ノラガミ
ルーファウス神羅,ファイナルファンタジーVII アドベントチルドレン
ゲンヤ・ナカジマ,魔法少女リリカルなのはStrikerS
エスパーニャンコ,おそ松さん
ウル,コンクリート・レボルティオ
ラスタル・エリオン,機動戦士ガンダム 鉄血のオルフェンズ
夢小路魔夜,アイカツ!
スペード,ACCA13区監察課
真戸呉緒,東京喰種
ウィリアム・ウォルター・ワーズワース,トリニティ・ブラッド
平清,BTOOOM!
