モンガー,21エモン
野々原姫子,姫ちゃんのリボン
円谷光彦,名探偵コナン
のろちゃん,怪談レストラン
ハナちゃん,おジャ魔女どれみ
トニートニー・チョッパー,ONE PIECE
ガッシュ・ベル,金色のガッシュベル!!
フー,うちの3姉妹
キャンディ,スマイルプリキュア
佐藤ポヨ,ポヨポヨ観察日記
国分寺こより,ナースウィッチ小麦ちゃんマジカルて
オリヴィエ,ハートキャッチプリキュア（劇場版）
紀の国屋みかん,ゴーゴー五つ子ら・ん・ど
猿飛木ノ葉丸,NARUTO
トト,おジャ魔女どれみシリーズ
津軽ジョッカー,南国少年パプワくん
小島尊子,熱血最強ゴウザウラー
水原結花,熱血最強ゴウザウラー
白鳥ユキナ,機動戦艦ナデシコ
武者小路藤丸,超者ライディーン
メルル,天空のエスカフローネ
鷹羽二郎丸,爆走兄弟レッツ&ゴー!!
マキバコ（真ん中）,みどりのマキバオー
岬真夜,ソウルテイカー
シエル・メサイア,東京アンダーグラウンド
ユニコン,プリパラ
ゴン,はじめ人間ゴン
上石神井蓮子,くじびきアンバランス
テララ,ケロロ軍曹
修羅,幽遊白書
要陸（右下）,黒魔女さんが通る!!
マジョモンロー（右側）,も～っと!おジャ魔女どれみ
アマグラナフ・ルォーゾンタム・ウーヴ・リ・ネジ,血界戦線
チードル=ヨークシャー,HUNTER×HUNTER（2011年日テレ版）
マニッシュ・ボーイ,ジョジョの奇妙な冒険 スターダストクルセイダース
田畑小穂,コボちゃん
山田のの子,ののちゃん
早乙女マコト,神無月の巫女
リエ・ペトリヤコワ,AIKa
マイク・マーキュリー（真ん中）,ガイストクラッシャー
マカロン,天からトルテ!
カトリーヌ,スーパードール★リカちゃん
ちびシグナル,ツインシグナル(OVA)
