ゼリグ,蒼い世界の中心で
シスター,荒川アンダーザブリッジ
ダン・シモンズ,アルジェントソーマ
ギスカール,アルスラーン戦記(TVアニメ版)
ガストロ,暗殺教室
スコルプ,Yes!プリキュア5GoGo!
大年神,いなり、こんこん、恋いろは。
高橋涼介,頭文字D
クラウディア・ホッジンズ,ヴァイオレット・エヴァーガーデン
アヤ,ヴァイスクロイツ
テッカマンエビル/相羽シンヤ,宇宙の騎士テッカマンブレード
風間真,エリア88
アスハム・ブーン※,OVERMANキングゲイナー
ニグン・グリッド・ルーイン,オーバーロード
ルカル・ウェスカー,終わりのセラフ 名古屋決戦編
神崎ユウイチロウ,カードファイト!!ヴァンガードG
ジャン,ガンスリンガーガール＊1
ラ・グー,ガンダム Gのレコンギスタ
フレデリック・アルグレアス,機動戦士ガンダムAGE
ムウ・ラ・フラガ,機動戦士ガンダムSEED
ネオ・ロアノーク,機動戦士ガンダムSEED DESTINY
日向小次郎(青年期),キャプテン翼(2001年版)
因幡聡明,キューティクル探偵因幡
シロジロ・ベルトーニ,境界線上のホライゾン
四分儀,ギルティクラウン
ブルース・J・スピード,銀河鉄道物語
高杉晋助,銀魂
筧十兵衛,GetBackers
クルル曹長,ケロロ軍曹
カリアン・ロス,鋼殻のレギオス
茶朔洵,彩雲国物語
ウキョウ,SAMURAI7
ほたる,SAMURAI DEEPER KYO
糸色景,さよなら絶望先生
ファウストⅧ世,シャーマンキング
ポーフ・グリフィス,シャーマンキング
景麒,十二国記
桐生冬芽,少女革命ウテナ
堂島銀,食戟のソーマ
ディオ・ブランドー/DIO,ジョジョの奇妙な冒険(TVアニメ版)
ゼクス・マーキス/ミリアルド・ピースクラフト,新機動戦記ガンダムW/機動戦士ガンダムW Endless Waltz
獣の巨人,進撃の巨人
青葉シゲル,新世紀エヴァンゲリオン
月皇遥斗,スタミュ-高校星歌劇-
ピノキオバージョン3.0,スナックワールド
赤法師レゾ,スレイヤーズ
JK,世紀末オカルト学院
花形美剣,セイバーマリオネットJ
シャーク藤代,瀬戸の花嫁
十三番,ゼロから始める魔法の書
流飛燕,蒼天の拳
エクスカリバー,ソウルイーター
須郷伸之/オベイロン,ソードアート・オンライン
ギム・ギンガナム,∀ガンダム
メフィラス星人シックル,大怪獣ラッシュ ウルトラフロンティア
スナフキン,楽しいムーミン一家
ヨクサル,楽しいムーミン一家
手折正弦,憑物語
伊達スバル,つよきす
デッドプール,ディスク・ウォーズ:アベンジャーズ
キース・アニアン,地球へ…
夜叉王ガイ/黒木凱,天空戦記シュラト
セブンチェンジャー,伝説の勇者ダ・ガーン
ロラン・マルティノッジ,DOGDAYS
アダム・ブレイド,NEEDLESS
大木雅之助(2代目),忍たま乱太郎
旧鼠,ぬらりひょんの孫
吉田幸司,バクマン。
ヘクター・ドイル,バキ
ラック・ガンドール,BACCANO!
オレスキー,ハピネスチャージプリキュア!
旅うさぎさん,はぴはぴクローバー
コモロくん,PAPUWA
ハーレム,PAPUWA
有坂静/セイ・アレイ,姫ちゃんのリボン
ピスト・シャーズ11世,FF：U 〜ファイナルファンタジー:アンリミテッド〜
真方ジン,ファイ・ブレイン
星宿,ふしぎ遊戯
ライオンさん,ふたつのスピカ
ペッシェ・ガティーシェ,BLEACH
伊達政宗,BRAVE10
ルーク・バレンタイン,HELLSING
神郷諒,ペルソナ〜トリニティ・ソウル〜
コサブロウ,ポケットモンスターシリーズ
ボーボボ,ボボボーボ・ボーボボ
モミテボン,Bビーダマン爆外伝
ドクダンディ,Bビーダマン爆外伝V
脳噛ネウロ,魔人探偵脳噛ネウロ
ガムリン木崎,マクロス7
フレイ,魔探偵ロキ
タテジワネズミ,魔法陣グルグル（1994年）
ナギ・スプリングフィールド,魔法先生ネギま!
油壷綾之丞,魔法使いTai!
ツキヒコ,メカクシティアクターズ
本田茂治,メジャー
大道寺,メタルファイトベイブレード
ニルヴァーナ,モンスターストライク(webアニメ)
黒柳亮,焼きたて!!ジャぱん
斎王琢磨,遊戯王GX
パンドラ,遊戯王DM
ビクティム・オーランド,勇者警察ジェイデッカー
広瀬海/ターボカイ,勇者指令ダグオン
城戸亜沙斗,幽☆遊☆白書
鳥2,妖怪アパートの幽雅な日常＊2
フール,妖怪アパートの幽雅な日常
ぬらりひょん,妖怪ウォッチ
影男,乱歩奇譚
ロズワール・L・メイザース,Re:ゼロから始める異世界生活
クラフト,レベルE
クザン(青雉),ONEPIECE
李崩,うえきの法則
