桜庭春人,アイシールド21
永井圭,亜人
ヤタカ,アラタカンガタリ
浅野学秀,暗殺教室
吹雪士郎,イナズマイレブン
藤原拓海,新劇場版 頭文字D
錐生零,ヴァンパイア騎士
うーさー,うーさーのその日暮らし
ギリョウ,うしおととら（TVアニメ版）
碓氷愁生,裏切りは僕の名前を知っている
キバ,WOLF'S RAIN
L・A,エル・カザド
須王環,桜蘭高校ホスト部
仲沢利央,おおきく振りかぶって
パンドラズ・アクター,オーバーロード
伊吹コウジ,劇場版 カードファイト!! ヴァンガード ネオンメサイア/カードファイト!!ヴァンガードG
與儀,カーニヴァル
ハーノイン,革命機ヴァルヴレイヴ
ベルク・カッツェ,ガッチャマンクラウズ
刹那・F・セイエイ,機動戦士ガンダム00
三浦健人,君に届け
ラインハルト・フォン・ローエングラム,銀河英雄伝説 Die Neue These
ジョーカー,黒執事
タスク,クロスアンジュ天使と竜の輪舞
クロウ(源九郎),黒塚 KUROZUKA
伏見猿比古,K
ドグ・ハマー,血界戦線
ムーンドギー,交響詩篇エウレカセブン
陸遜伯言,鋼鉄三国志
天鳥美馬,甲鉄城のカバネリ
ハルオ・サカキ,GODZILLA
アルティメット・サジット・アポロドラゴン,最強銀河 究極ゼロ 〜バトルスピリッツ〜
目覚めのツルハシ,最強銀河 究極ゼロ 〜バトルスピリッツ〜
シュウ☆ゾー,SHOW BY ROCK!!
越前リョーガ,新テニスの王子様（OVA）
アキラ,真・女神転生デビルチルドレン＊1
ツナシ・タクト,STAR DRIVER 輝きのタクト
キグナス氷河,聖闘士星矢Ω
天城高雅,ZETMAN
島村ジョー,009 RE:CYBORG
将陵僚,蒼穹のファフナー RIGHT OF LEFT
曹操孟徳,蒼天航路
デス・ザ・キッド,ソウルイーター
クレープマン(初登場時),それいけ!アンパンマン
巽幸太郎,ゾンビランドサガ
真島太一,ちはやふる
神威,ツバサ TOKYO REVELATIONS
チャオジー・ハン,D.Gray-man＊2
夜神月,DEATH NOTE
安斎環,デビルズライン
紀田正臣,デュラララ!!
月山習,東京喰種
シンク・イズミ,DOG DAYS
ギルサンダー,七つの大罪
サブロー,信長協奏曲
オダ・ノブナガ,ノブナガ・ザ・フール
リン・ヤオ,鋼の錬金術師 FULLMETAL ALCHEMIST
ミデン,映画HUGっと!プリキュア♡ふたりはプリキュア オールスターズメモリーズ
一郎彦(青年期),バケモノの子
鴨川源二(戦後編),はじめの一歩
クロロ=ルシルフル,HUNTER×HUNTER（2011年版）
プリンス・デマンド,美少女戦士セーラームーンCrystal
ビショップ,ファイ・ブレイン
ライダー,Fate/Prototype
信乃,伏 鉄砲娘の捕物帳
松岡凛,Free!
太宰治,文豪ストレイドッグス
金城優,ベン・トー
デント,ポケットモンスター ベストウイッシュ
ムー・アレキウス,マギ
七瀬武,魔法戦争
松ノ原小鳥,ムシブギョー
コノハ/九ノ瀬遥/目が冴える蛇,メカクシティアクターズ
百樹丸雄,ヤングブラック・ジャック
アビドス3世,遊戯王GX
片桐大介,遊戯王ZEXALⅡ
ジャン・ジャック・ルロワ,ユーリ!!!onICE
夏目残夏,妖狐×僕SS
吉本進,劇場版 弱虫ペダル＊3
葦木場拓斗,弱虫ペダル NEW GENERATION
フィン・クルーダ,レンタルマギカ
イケメン仮面アマイマスク,ワンパンマン
