赤城烈,ジュエルペット きら☆デコッ!
青木義文,ココロコネクト
アポロ,創聖のアクエリオン
木野国也,さよなら絶望先生
久保利光,バカとテストと召喚獣
ストーンリバー,探偵オペラミルキィホームズ
丹童子アルマ,セイクリッドセブン
渡草三郎,デュラララ!!
百獣レオ,デュエルマスターズビクトリー
シロエ,ログ・ホライズン
デシル・ガレット,機動戦士ガンダムAGE
アシュレイ・アシュラ,コードギアス 亡国のアキト
財前直行,ダイヤのA
如月シンタロー,メカクシティアクターズ
ヤマケン,となりの怪物くん
下呂阿古哉,美男高校地球防衛部LOVE!
トンきゅん,ミカグラ学園組曲
スネーク,黒執事
ウサギ,プリパラ
安藤玲,プリパラ
城田真昼,SERVAMP
海棠蒔麻,SUPERLOVERS
犬田小文吾,八犬伝-東方八犬異聞-
瀬見英太,ハイキュー!!
無涯,ムシブギョー
海原カイト,メタルファイトベイブレードZERO-G
ウルフボーイ,ブラッドラッド
ヤハクィザシュニナ,正解するカド
御茶ノ水博志,アトムザ・ビギニング
ダンタリオン,魔界王子
シスコ・カーライル,ベイブレードバースト 神
佐藤シゲル,せいぜいがんばれ!魔法少女くるみ
