宮守夏音,うみものがたり ～あなたがいてくれたコト～
琴吹紬,けいおん!
婚后光子,とある科学の超電磁砲
坂崎嘉穂,よくわかる現代魔法
チャイカ,あそびにいくヨ！
橙橙,おとめ妖怪ざくろ
神宮寺弥子,ちゅーぶら!!
ユー子,Aチャンネル
立花・誾,境界線上のホライゾン
獅堂岬,そふてにっ
ブルーローズ/カリーナ・ライル,TIGER&BUNNY
三次ちひろ,たまゆら～hitotose～
水野枝莉,花咲くいろは
魔乳千房,魔乳秘剣帖
竹中夏陽,ロウきゅーぶ!
フラム・ナラ,機動戦士ガンダムAGE
逢沢夏海,夏色キセキ
鍋島猫美,めだかボックス
飛鳥ひずる,トワノクオン
ジャンヌ・ダルク,イナズマイレブンGOクロノ・ストーン
ベール・ファーブルトン,DOGDAYS
リッケルト,映画 ベルセルク 黄金時代篇
徳川千,百花繚乱サムライガールズ
二宮タカヒ,革命機ヴァルヴレイヴ
戦神の侍イズミ,クイーンズブレイドリベリオン
ヨーテリー,劇場版ポケットモンスター ベストウイッシュ ビクティニと黒き英雄ゼクロム・ビクティニと白き英雄レシラム
ステラ,ポケットモンスター ベストウイッシュ
岡本天子,ひめチェン!おとぎちっくアイドル リルぷりっ
神崎美月,アイカツ!
菱川六花/キュアダイヤモンド,ドキドキ!プリキュア
白鷺美酒,世界征服～謀略のズヴィズダー～
鷹崎奈津,ベイビーステップ
いまいち萌えない娘,ロボットガールズZ
竜神智子,マジンボーン
ノレド・ナグ,ガンダム Gのレコンギスタ
田中あすか,響け!ユーフォニアム
お姉ちゃん,かみなさみならい ヒミツのここたま
曳尾谷愛,パンチライン
蒼月紗夜,アンジュ・ヴィエルジュ
水城和花,タイムトラベル少女～マリ・ワカと8人の科学者たち～
うつぼみかづら,デュエル・マスターズVSRF
サンジェルマン,戦姫絶唱シンフォギアAXZ
モモ,カードキャプターさくら クリアカード編
駿河駿馬,Re:CREATORS
"",""
