五更珠希,俺の妹がこんなに可愛いわけがない
ミント,夢色パティシエール
アリス,神様のメモ帳
人形原黒絵,C³
袴田ひなた,ロウきゅーぶ!
ユノハ・スルール,アクエリオンEVOL
竹中半兵衛,織田信奈の野望
アテナ,カンピオーネ!
宝生柚璃奈,この中に1人、妹がいる!
園城寺怜,咲-Saki-阿知賀編episode of side-A
宇佐美さくら,つり球
ハーミット,.hack//Quantum
神田優子,さくら荘のペットな彼女
筒隠月子,変態王子と笑わない猫。
青羽ここな,ヤマノススメ
小紫,機巧少女は傷つかない
寿日和,最近、妹のようすがちょっとおかしいんだが。
各務原あづみ,Z/X
クリス,クロスアンジュ天使と竜の輪舞
布施翠,ブラック・ブレット
トマリン,てーきゅう
泉乃純花,ユリ熊嵐
櫻田光,城下町のダンデライオン
ティア・クレイス,レガリア The Three Sacred Stars
リンネ・ベルリネッタ,ViVidStrike!
柊真雪,ひなこのーと
ベルゼバブ,sin 七つの大罪
藤ノ木寧音,はじめてのギャル
二子,鬼灯の冷徹
四門摩耶,聖剣使いの禁呪詠唱
結城夏凛,UQ HOLDER!
早瀬絹江,政宗くんのリベンジ
星降そそぐ,☆色ガールドロップ
アリア,DOGDAYS
シャルロット・イゾアール,りゅうおうのおしごと!
輝木ほまれ/キュアエトワール,HuGっと!プリキュア
女神官,ゴブリンスレイヤー
ガタノゾーア,怪獣娘(黒)〜ウルトラ怪獣擬人化計画〜
氷室舞,俺が好きなのは妹だけど妹じゃない
