クゼ・ヒデオ,攻殻機動隊S.A.C.2ndGIG
毛利小五郎,名探偵コナン※2代目（553話以降担当）
ハクオロ,うたわれるもの
衛宮切嗣,Fate/Zero
コガラシ,仮面のメイドガイ
左右田右衛門左衛門,刀語
武蔵厳,アイシールド21
鷹村守,はじめの一歩
死神様,ソウルイーター
ヤマト/テンゾウ,NARUTO
鎖部左門,絶園のテンペスト
RAINBOW-二舎六房の七人-,桜木六郎太
右代宮留弗夫,うみねこのなく頃に
南郷,アカギ〜闇に降り立った天才〜
安倍晴明,ぬらりひょんの孫 千年魔京
鷹山澪士,ウィッチブレイド
花島勝,銀河へキックオフ!!
ローガン/ウルヴァリン,ウルヴァリン
織田信長,へうげもの
栗木ロナウド※1,DEVIL SURVIVOR 2 the ANIMATION
霧切仁,ダンガンロンパ 希望の学園と絶望の高校生 The Animation
ジン=フリークス,HUNTER×HUNTER(2011年版)
シャリア・ブル,GUNDAM EVOLVE../15
オノノ少尉,ケロロ軍曹
百井兼蔵,サーバント×サービス
サカキ,ポケットモンスターTHE_ORIGIN
アオギリ,ポケモンジェネレーションズ
ドナテロ・K・デイヴス,テラフォーマーズ
クラウス・V・ラインヘルツ,血界戦線
福沢諭吉,文豪ストレイドッグス
ヴィクター・パワード,武装錬金
ジュガイ,真救世主伝説 北斗の拳
牙神獣兵衛,獣兵衛忍風帖 龍宝玉篇
アビ,天保異聞妖奇士※2
沙悟浄,パタリロ西遊記!※3
猩覚,銀魂
カイエン・トシカズ,白銀の意思アルジェヴォルン
怒りの雷兵/キュロス(ONEPIECE),ONEPIECE
ポプ子,ポプテピピック ※第10話Bパート
先生※4,プラネット・ウィズ
蛭子影胤,ブラック・ブレット
ジャック・ラカン,UQ HOLDER!魔法先生ネギま!2
烈海王,バキ
魔王竜バッツ,フューチャーカードバディファイト
異界王,バトルスピリッツ少年激覇ダン
深海王,ワンパンマン
王騎,キングダム
幸平城一郎,食戟のソーマ
ガト,最遊記RELOAD GUNLOCK
灼炎寺カイザ,ベイブレードバースト
ザラトラス,七つの大罪(漫画) 戒めの復活
とら,うしおととら(2015年TVアニメ版)
加藤鳴海,からくりサーカス
コヨーテ・スターク,BLEACH
烈海王,グラップラー刃牙※5
フォアグラ,ゾイドワイルド
本多忠勝,信長の忍び
