ヘンケン・ベッケナー,機動戦士Ζガンダム
マイヨ・プラート,機甲戦記ドラグナー
橙次,忍空
影慶,魁!!男塾
やきそばパンマン,それいけ!アンパンマン
ネンガ様,忍ペンまん丸
鳳暁生,少女革命ウテナ
スナドリネコさん,ぼのぼの
テッカマンランス,宇宙の騎士テッカマンブレード
螺呪羅,鎧伝サムライトルーパー
ランティス,魔法騎士レイアース
ザガート,魔法騎士レイアース
トップジョイ,疾風!アイアンリーガー
イズミ,覇王大系リューナイト
ZENKI,鬼神童子ZENKI
南雲慶一郎,リアルバウトハイスクール
アーロン,ONEPIECE
カラスミ,コロッケ!
榊太郎,テニスの王子様
センリ,ポケットモンスター アドバンスジェネレーション
猿飛アスマ,NARUTO
チンロンモン,デジモンアドベンチャー02/デジモンテイマーズ
アイスデビモン,デジモンテイマーズ
スカルナイトモン/ダークナイトモン,デジモンクロスウォーズ
岬越寺秋雨,史上最強の弟子ケンイチ
キントレスキー,ふたりはプリキュアSplash☆Star
小此木,ひぐらしのなく頃に
右代宮蔵臼,うみねこのなく頃に
小此木鉄郎,うみねこのなく頃に
Mr.ハートランド,遊戯王ZEXAL
速水真澄,ガラスの仮面(OVA)
空条承太郎,ジョジョの奇妙な冒険第3部(OVA)
ブリアレオス,アップルシード(劇場版)
オグマ,ファイアーエムブレム 紋章の謎(OVA)
タマ,ハヤテのごとく!
キングクルール,ドンキーコング
デヴィッド,BLOOD+
Mr.レジェンド,TIGER&BUNNY
マンサム,トリコ
空五倍子,あまつき
剣持勇,金田一少年の事件簿
プロフェッサー・C,怪盗ジョーカー
土蜘蛛,ぬらりひょんの孫
アラン,メルヘヴン
ハーレイ,地球へ…(左側)
【A-A】アトランダム,ツインシグナル(ドラマCD)
独角兕,最遊記RELOAD
"",""
