ジョセフ・カーター・ジョーンズ,HEROMAN
観月小鳥,遊戯王ZEXAL
加藤茉莉香,モーレツ宇宙海賊
イオリ・セイ,ガンダムビルドファイターズ
潮留美海,凪のあすから
マノン,ポケットモンスターXY最強メガシンカ
ネコ,K
涼野いと,プリティーリズム・レインボーライブ
戸塚彩加,やはり俺の青春ラブコメはまちがっている。
安藤創世,戦姫絶唱シンフォギア
鶫誠士郎,ニセコイ
丸山紗希,ガールズ&パンツァー
ウッラ・エウレウス・ヘクマティカ,神さまのいない日曜日
ユーマ,トワノクオン
ワイ,ヘタリア
サクヤ姫,鬼灯の冷徹
田中,侵略!イカ娘
ルプスレギナ・ベータ,オーバーロード
伊藤一刀斎,戦国コレクション
エターナルフェザー,ソウルイーターノット!
網文韻子,アルドノア・ゼロ
神木鈴花,魔法少女大戦
村尾修子,アオハライド
椎名,幸腹グラフィティ
プリアポス,純潔のマリア
カイン,チェインクロニクル
戸川汐音,天体のメソッド
中村麻子,うしおととら
立花蛍,青春×機関銃
下村泉,亜人
ジンジャー,GANGSTA.
仲野弥生,だんちがい
アレクサンドラ=アルシャーヴィン,魔弾の王と戦姫
ユメ,灰と幻想のグリムガル
種臣静流,ブブキ・ブランキ
ろー,にゃんこデイズ
セレジア・ユピティリア,Re:CREATORS
香月早苗,サクラクエスト
堤茂斗子,アトム・ザ・ビギニング
神楽坂あやめ,エロマンガ先生
シンシャ,宝石の国
ポプ子,ポプテピピック（第3話Aパート）
音羽歌苗,クラシカロイド
黄氏,封神演義(2018年版)
神刀朧,ゆらぎ荘の幽奈さん
緑川香枝,たくのみ。
ペンネ,ゾイドワイルド
お紅,つくもがみ貸します
太郎丸美也子,はねバド！
五條礼奈,火ノ丸相撲
りん,ケムリクサ(TV版)
和田陽奈,名探偵コナン
香久矢まどか/キュアセレーネ,スター☆トゥインクルプリキュア
